<table class="error" cellpadding="5"><tr><td><p><b>SQL error:</b><br /><pre class="error">ERROR:  cannot use serializable mode in a hot standby
HINT:  You can use REPEATABLE READ instead.</pre></p>
		      <p><b>In statement:</b><br />SET TRANSACTION ISOLATION LEVEL SERIALIZABLE</p>
		</td></tr></table><br />
"device_info_serial","date_time","latitude","longitude","altitude","pressure","temperature","satellites_used","gps_fixtime","positiondop","h_accuracy","v_accuracy","x_speed","y_speed","z_speed","speed_accuracy","location","userflag","speed_3d","speed_2d","direction","altitude_agl"
"2017","2013-05-13 16:06:21","52.9204053","5.4395503","0","\N","21.4","\N","62.5","2.7","6.6","5.3","-0.03","-0.07","0.11","0.43","0101000020E6100000B7C94D7919C21540544843D7CF754A40","0","0.133790881602597","0.116519675994143","-35.0047831016019","2"
"2017","2013-05-13 17:07:12","52.9299087","5.4385865","-6","\N","16.3","\N","18.3","7.5","22.5","16.6","0.13","-0.09","-0.62","2.56","0101000020E610000051DEC7D11CC1154008628F3F07774A40","0","0.639843730921856","0.481103278995786","-167.769897975373","-5"
"2017","2013-05-13 18:07:50","52.9205537","5.4395167","0","\N","15.3","\N","8.7","4.4","18","16.1","-0.37","-2.25","-1.66","1.27","0101000020E6100000F22E72AA10C215401CDB21B4D4754A40","0","2.82046095523409","2.26920772042843","-103.684323625116","2"
"2017","2013-05-13 19:08:39","52.920644","5.4393204","-2","\N","14.6","\N","26","2.4","5.2","6","-0.38","-0.19","-0.15","0.55","0101000020E6100000D0DCF934DDC115401BA19FA9D7754A40","0","0.450555213042752","0.272765257946426","-34.1509631904999","0"
"2017","2013-05-13 20:08:55","52.9208103","5.4387449","-3","\N","16.2","\N","10.4","2.6","17","15","-0.75","-0.11","-0.88","0.83","0101000020E6100000AC25D35746C11540F428A61CDD754A40","0","1.16146459265877","0.0828539174468415","-27.6255679109733","-2"
"2017","2013-05-13 21:12:03","52.9304197","5.4378289","-3","\N","15.2","\N","38.7","2.7","9.1","12.5","-0.01","-0.17","-0.24","0.61","0101000020E610000081F91A3856C01540EE8623FE17774A40","0","0.294278779391243","0.208960709083164","-126.355572995446","0"
"2017","2013-05-13 21:25:56","52.9302073","5.4377498","-2","\N","17.7","\N","7.9","3.3","14.8","17.7","-0.12","-0.48","-0.55","0.84","0101000020E61000007952CB7B41C015400F00660811774A40","0","0.739797269527267","0.507504923380826","-113.199294946827","1"
"2017","2013-05-13 21:36:38","52.930291","5.4379136","-7","\N","20.2","\N","9.9","3.5","31.9","27.5","-0.89","0.68","-0.27","2.27","0101000020E6100000FEE4396C6CC01540AE6186C613774A40","0","1.15212846505934","0.906846259887772","57.0856029091923","-4"
"2017","2013-05-13 21:46:46","52.9302183","5.437858","-7","\N","19.2","\N","10","3.6","33.8","26.3","0.58","-1.16","-2.02","2.18","0101000020E6100000FA2AF9D85DC015400352AC6411774A40","0","2.40049994792751","1.99838606624777","-142.745217763234","-4"
"2017","2013-05-13 21:58:39","52.9302198","5.4378021","-3","\N","21.5","\N","34.9","2.1","6.5","7.2","-0.06","-0.1","-0.18","0.49","0101000020E6100000017B96314FC01540BC8B417111774A40","0","0.214476105895272","0.107932392371872","-119.581305530846","0"
"2017","2013-05-13 22:08:36","52.9302307","5.4378257","-3","\N","14.6","\N","8.3","2.3","5.5","9.8","-0.15","-0.07","-0.48","0.55","0101000020E6100000AB645B6155C015401B1EB1CC11774A40","0","0.507740090991444","0.173977986848153","-161.407559914303","0"
"2017","2013-05-13 22:18:44","52.9302225","5.4378105","-5","\N","13.4","\N","8.3","2.8","4.3","8","-0.15","0.01","-0.36","0.54","0101000020E6100000B3614D6551C015406EC0E78711774A40","0","0.390128184062623","0.101531634789608","166.228415334559","-2"
"2017","2013-05-13 22:29:39","52.9301465","5.4376916","-5","\N","14.7","\N","7.4","3.6","6.1","11.2","-0.24","-0.02","-1.06","0.67","0101000020E610000087EF0E3A32C0154093FE5E0A0F774A40","0","1.0870142593361","0.446817770562346","179.63669739956","-2"
"2017","2013-05-13 22:40:36","52.9301124","5.4376965","-10","\N","13.9","\N","8.4","4.4","12.6","21.5","-0.12","0.09","-1.28","1.11","0101000020E61000006F4BE48233C0154052CD51EC0D774A40","0","1.2887590930814","0.690479304033673","171.591672921686","-7"
"2017","2013-05-13 22:51:16","52.9299613","5.4378787","-7","\N","13.9","\N","8.5","4.4","8.2","12","-0.3","0.11","-1.14","0.85","0101000020E6100000C175204663C01540D805CDF808774A40","0","1.18393411978877","0.477560368992446","163.211935964423","-6"
"2017","2013-05-13 23:01:55","52.9300251","5.4377825","-10","\N","13.6","\N","7.6","4.4","9.6","23","-1.69","1.32","-2.05","1.77","0101000020E6100000630B410E4AC01540C57AFE0F0B774A40","0","2.9666479400158","1.47422802879996","89.7336142402394","-7"
