,date_time,latitude,longitude,altitude,pressure,temperature,satellites_used,gps_fixtime,positiondop,h_accuracy,v_accuracy,x_speed,y_speed,z_speed,speed_accuracy,location,userflag,speed_3d,speed_2d,direction,altitude_agl,year
1004,6/6/2013 17:50,52.9286799,5.4401281,-12,\N,30.7,5,18,2.4,11.2,18,-0.14,0.14,-0.4,0.97,0101000020E6100000D533CEF0B0C21540ED79A3FBDE764A40,0,0.446318272,0.207469211,132.6307099,-10,2013
1765,6/18/2013 18:48,52.9276258,5.4401283,-4,\N,33.2,9,28.9,1.4,6.9,6.2,-0.49,0.42,-0.13,0.36,0101000020E6100000222D3AFEB0C2154082F63471BC764A40,0,0.658331224,0.541935,59.00698003,-1,2013
1107,6/8/2013 9:10,52.9281853,5.4401291,-6,\N,38.6,8,8,1.9,11.5,10.7,-1.37,-1.13,-1.25,0.62,0101000020E61000005812EA33B1C215406110A2C6CE764A40,0,2.1717044,1.080086902,-67.10904633,-3,2013
1082,6/8/2013 1:02,52.930661,5.4401311,-6,\N,22,7,8.6,1.7,11.2,8.4,-0.78,0.23,-0.04,0.66,0101000020E61000005ECF21BAB1C21540D2544FE61F774A40,0,0.814186711,0.652612006,27.65547733,-4,2013
1043,6/7/2013 9:11,52.9273931,5.4401316,-10,\N,39.3,7,6.3,2.2,10.7,10,-1.09,-1,-0.59,0.69,0101000020E61000009FBEAFDBB1C215409E842DD1B4764A40,0,1.592545133,1.067255846,-56.71343743,-8,2013
414,5/28/2013 14:21,52.9269202,5.4401336,-6,\N,33.5,\N,6.3,1.4,12.5,11.4,-0.69,0.82,-0.68,0.59,0101000020E6100000A57BE761B2C215403A803452A5764A40,0,1.269212354,0.885,85.06741408,-4,2013
1102,6/8/2013 7:54,52.9279656,5.4401339,-27,\N,29,5,13.4,5,29,26,-1.53,-0.68,-1.61,1.17,0101000020E610000099710976B2C2154011E8A793C7764A40,0,2.322800034,0.608776428,-60.89082204,-24,2013
1068,6/7/2013 18:03,52.9287675,5.440135,-11,\N,28.3,5,10.8,3.7,10.3,24.2,-1.19,0.47,-1.04,0.99,0101000020E6100000C24CDBBFB2C21540390B7BDAE1764A40,0,1.648817758,0.645874738,64.03916502,-9,2013
854,6/4/2013 11:26,52.9274737,5.4401369,-15,\N,32.2,6,12.5,2.6,16.6,34.2,-2.68,-0.77,-3.43,1.66,0101000020E6100000210D5D3FB3C2154037B34C75B7764A40,0,4.420429843,0.526138267,-76.90310097,-13,2013
1081,6/8/2013 0:32,52.9306487,5.4401372,-8,\N,21.8,8,7.4,1.7,11.4,8.4,-1.23,0.5,-0.23,0.66,0101000020E610000015037F53B3C215404F48217F1F774A40,0,1.347516234,1.009110448,37.50367864,-6,2013
462,5/29/2013 8:39,52.9291506,5.4401409,-9,\N,25.3,\N,7.7,4,19.3,12.9,-1.47,0.59,-0.34,0.73,0101000020E61000002D87CC4BB4C2154086072868EE764A40,0,1.620061727,1.170849362,38.36482371,-7,2013
891,6/5/2013 0:58,52.9306002,5.4401411,-3,\N,23.8,5,19.8,5.5,12.5,10.5,-0.08,-0.01,-0.02,1.13,0101000020E61000007A803859B4C21540565348E81D774A40,0,0.083066239,0.052299535,-2.59784254,-1,2013
500,5/29/2013 18:47,52.9290546,5.4401413,-3,\N,26.3,\N,7.8,1.7,8.5,10.1,-1.19,-0.04,-0.22,0.44,0101000020E6100000C779A466B4C215406499D942EB764A40,0,1.210826164,0.818881315,5.11441238,-1,2013
811,6/3/2013 19:18,52.9290709,5.4401424,-2,\N,22.7,\N,17.9,5.3,13.4,17.6,-0.21,0.02,-0.03,1.32,0101000020E6100000F15476B0B4C21540289595CBEB764A40,0,0.213072758,0.152495662,15.13632152,0,2013
1075,6/7/2013 21:31,52.9306728,5.4401461,-3,\N,19.2,11,7.1,1.5,7.1,7.8,-0.63,0.7,-0.62,0.51,0101000020E610000008D9C3A8B5C215406DA34B4920774A40,0,1.127519401,0.760159852,84.4331771,-1,2013
1850,6/20/2013 2:55,52.9310774,5.4401476,-4,\N,26,7,8,2.4,13.6,17.5,-1.71,1.25,-1.59,1.09,0101000020E6100000CDA66D0DB6C21540B985538B2D774A40,0,2.648527893,1.439243816,77.75262029,-2,2013
499,5/29/2013 18:32,52.9290526,5.4401484,-4,\N,24.1,\N,8.7,1.9,7.4,11.5,-0.56,-0.07,-0.57,0.61,0101000020E6100000028C1D43B6C21540C3A11232EB764A40,0,0.802122185,0.107787693,-8.855627116,-2,2013
989,6/6/2013 10:46,52.9276782,5.4401495,-8,\N,41.3,5,9.3,4.2,15.1,18.5,-0.53,-0.89,-0.54,0.88,0101000020E61000002C67EF8CB6C21540281BC528BE764A40,0,1.168160948,0.851446682,-78.97917434,-5,2013
958,6/6/2013 1:28,52.9306452,5.4401508,-3,\N,20.4,6,12.6,1.6,17.3,11.3,-0.5,0.19,-0.05,1.49,0101000020E6100000A23B2DE4B6C21540F616C5611F774A40,0,0.537215041,0.424632345,33.85295956,-1,2013
1953,6/21/2013 17:09,52.9254809,5.4401524,-8,\N,23.1,4,24.4,2.9,17.2,18.1,-8.53,13.63,3.45,2.83,0101000020E61000000D068D4FB7C215404C497B2876764A40,0,16.44506917,16.36825902,61.44573295,-6,2013
1041,6/7/2013 8:41,52.9274584,5.4401533,-7,\N,38.2,9,24.1,1.5,11.4,10,-0.11,0.06,-0.17,0.6,0101000020E6100000EAE7F28BB7C215404333F4F4B6764A40,0,0.211187121,0.072857776,105.6451986,-5,2013
917,6/5/2013 9:56,52.9271211,5.4401535,-7,\N,44,6,8.4,2.3,16.1,15.5,-0.23,0.23,-1.38,1.1,0101000020E610000037E15E99B7C215403DF779E7AB764A40,0,1.417815221,0.712227516,159.384693,-5,2013
1208,6/10/2013 2:34,52.9277014,5.4401546,-6,\N,17.8,7,11.8,2.2,13.4,8.6,-0.44,-0.81,-0.28,0.73,0101000020E610000060BC30E3B7C2154009BA62EBBE764A40,0,0.963379468,0.802007861,-72.44033277,-3,2013
857,6/4/2013 12:11,52.9271016,5.4401549,-13,\N,40.2,5,8.7,3.9,25.7,15.5,0.13,-2.59,-0.6,1.04,0101000020E610000054B252F7B7C21540DE08E643AB764A40,0,2.661766331,2.60459119,-95.92890112,-11,2013
1991,6/22/2013 10:35,52.9273317,5.4401558,-6,\N,25.7,8,7.4,2,\N,\N,\N,\N,\N,\N,0101000020E61000003194B833B8C21540A5051ECEB2764A40,0,\N,\N,\N,-4,2013
371,5/28/2013 0:22,52.9306323,5.4401588,-1,\N,23.8,\N,20.6,7.5,23.2,7.5,-0.19,0.23,0.12,2.09,0101000020E6100000B92F0CFDB8C21540F68C8EF51E774A40,0,0.321558704,0.32151794,50.18893346,1,2013
148,5/24/2013 11:58,52.9279897,5.4401594,-2,\N,28.6,\N,28.1,1.7,14,14.5,-0.22,0.11,-0.44,0.82,0101000020E6100000A11B5025B9C215402E43D25DC8764A40,0,0.504083326,0.163582581,127.1632243,1,2013
497,5/29/2013 18:03,52.9290524,5.4401605,-4,\N,21.4,\N,43.4,2.4,6,11.2,-0.13,0,-0.16,0.61,0101000020E6100000CBF6216FB9C215409A226530EB764A40,0,0.206155281,0.014081024,61.07775784,-2,2013
785,6/3/2013 11:08,52.926717,5.4401609,-6,\N,31.6,\N,8.5,4.1,15.6,21.1,-0.72,-1,-1.02,0.79,0101000020E610000066E9F989B9C21540D8D2A3A99E764A40,0,1.599624956,0.927809136,-87.98485743,-4,2013
1852,6/20/2013 3:36,52.926332,5.4401615,-1,\N,20,6,9.3,3.3,17.2,16,-3.22,1.58,0.07,1.07,0101000020E61000004ED53DB2B9C21540809E060C92764A40,0,3.587436411,3.111108763,37.13495243,1,2013
1747,6/18/2013 12:11,52.9279448,5.4401654,-2,\N,42.4,6,12.5,3.5,21.3,20.5,-0.5,0.18,-0.12,1.07,0101000020E6100000B252F7B7BAC21540233F2CE5C6764A40,0,0.544793539,0.384944182,36.060335,1,2013
1427,6/13/2013 7:35,52.9271081,5.4401656,-3,\N,29.1,5,7.9,2.8,10.1,21.4,-2.18,-0.67,-1.87,0.91,0101000020E6100000004C63C5BAC21540A8AD6C7AAB764A40,0,2.949271096,0.800490425,-35.10161275,-1,2013
943,6/5/2013 18:47,52.9290456,5.4401663,12,\N,21.3,8,7.9,1.4,6.7,9.8,-0.43,-0.47,0.19,0.88,0101000020E61000008E345DF4BAC21540113F5AF7EA764A40,0,0.664755594,0.651253642,-40.98315723,14,2013
346,5/27/2013 12:47,52.9273549,5.4401723,-5,\N,39,\N,7.9,3.1,9.8,12.7,-0.61,-1.15,-0.58,0.47,0101000020E6100000A06B0487BCC2154086A4BB90B3764A40,0,1.425131573,1.109398548,-78.46409922,-3,2013
1200,6/9/2013 22:34,52.9307075,5.4401723,-3,\N,24,8,7.1,2.1,9.2,9.1,-2.01,0.3,-0.2,0.52,0101000020E6100000A06B0487BCC215402A52616C21774A40,0,2.042082271,1.533448015,18.60401724,-1,2013
622,5/31/2013 19:32,52.9290735,5.4401726,-3,\N,20.6,\N,40.4,1.4,6.1,8.4,-0.2,0.01,-0.14,0.45,0101000020E61000009461269BBCC21540460A65E1EB764A40,0,0.244335834,0.07917927,21.41985468,-1,2013
461,5/29/2013 8:24,52.9290944,5.4401731,-5,\N,26.5,\N,9.6,4.8,13,11.7,-1.75,0.9,-0.64,0.81,0101000020E6100000D550B4BCBCC21540C872B790EC764A40,0,2.069323561,1.415594006,48.60027589,-3,2013
