"","date_time","latitude","longitude","altitude","pressure","temperature","satellites_used","gps_fixtime","positiondop","h_accuracy","v_accuracy","x_speed","y_speed","z_speed","speed_accuracy","location","userflag","speed_3d","speed_2d","direction","altitude_agl","year"
"1",2013-04-16 16:18:21,52.9222108,5.4353042,0,"\N",21.5,"\N",40.7,1.9,"\N","\N","\N","\N","\N","\N","0101000020E6100000EB3E5B62C0BD15404E02E5000B764A40",0,"\N","\N","\N",3,"2013"
"2",2013-04-16 16:23:07,52.9133801,5.4484536,1,"\N",21,"\N",7,1.9,"\N","\N","\N","\N","\N","\N","0101000020E61000000718A76B37CB15409A289DA3E9744A40",0,"\N","\N","\N",-4,"2013"
"3",2013-04-16 16:27:56,52.935963,5.4765061,0,"\N",20,"\N",8,2,"\N","\N","\N","\N","\N","\N","0101000020E6100000C6600F37F1E715400EA2B5A2CD774A40",0,"\N","\N","\N",0,"2013"
"4",2013-04-16 16:32:56,52.9444856,5.4976587,-7,"\N",14.7,"\N",8.2,1.8,"\N","\N","\N","\N","\N","\N","0101000020E61000008D47043E9AFD15407FC575E7E4784A40",0,"\N","\N","\N",-5,"2013"
"5",2013-04-16 16:37:48,52.9444797,5.49772,-2,"\N",12.3,"\N",8.1,1.7,"\N","\N","\N","\N","\N","\N","0101000020E6100000AF42CA4FAAFD1540329EF7B5E4784A40",0,"\N","\N","\N",0,"2013"
"6",2013-04-16 16:42:56,52.9444401,5.4976459,-3,"\N",12.3,"\N",7.9,1.6,"\N","\N","\N","\N","\N","\N","0101000020E610000036F405E396FD1540F743C769E3784A40",0,"\N","\N","\N",-1,"2013"
"7",2013-04-16 16:47:40,52.9443825,5.4975282,5,"\N",12.5,"\N",8.2,1.6,"\N","\N","\N","\N","\N","\N","0101000020E6100000DA594F0878FD154016359886E1784A40",0,"\N","\N","\N",7,"2013"
"8",2013-04-16 16:52:28,52.9443853,5.4975532,6,"\N",12.3,"\N",8.2,1.5,"\N","\N","\N","\N","\N","\N","0101000020E6100000A11408967EFD15405D29159EE1784A40",0,"\N","\N","\N",8,"2013"
"9",2013-04-16 16:57:16,52.9443608,5.4975359,6,"\N",12.4,"\N",8.2,2.9,"\N","\N","\N","\N","\N","\N","0101000020E6100000FD570C0D7AFD1540ECCF8FD0E0784A40",0,"\N","\N","\N",8,"2013"
"10",2013-04-16 17:02:06,52.9444078,5.4975398,8,"\N",12.4,"\N",10.3,3,"\N","\N","\N","\N","\N","\N","0101000020E610000062D5C5127BFD15402D8BD35AE2784A40",0,"\N","\N","\N",10,"2013"
"11",2013-04-16 17:06:52,52.9444477,5.4976001,-3,"\N",12,"\N",8.3,3.2,"\N","\N","\N","\N","\N","\N","0101000020E610000000F26FE18AFD1540262488A9E3784A40",0,"\N","\N","\N",-1,"2013"
"12",2013-04-16 17:11:41,52.9444143,5.497561,2,"\N",12,"\N",9.3,3.4,"\N","\N","\N","\N","\N","\N","0101000020E61000006B0F7BA180FD1540F72F5A91E2784A40",0,"\N","\N","\N",4,"2013"
"13",2013-04-16 17:16:28,52.9443727,5.4975661,0,"\N",12.7,"\N",8.4,3.6,"\N","\N","\N","\N","\N","\N","0101000020E6100000A064BCF781FD15401CDE6234E1784A40",0,"\N","\N","\N",2,"2013"
"14",2013-04-16 17:21:19,52.9395514,5.4825259,4,"\N",18.8,"\N",11.4,3.9,"\N","\N","\N","\N","\N","\N","0101000020E610000051E4FF441BEE15409CF4633843784A40",0,"\N","\N","\N",6,"2013"
