,ID,date_time,latitude,longitude,b,t
1,1002-2012,5/11/2012 7:33,52.9237174,5.4307727,1,5/11/2012 07:33:15
2,1002-2012,5/11/2012 7:48,52.9236905,5.4307832,1,5/11/2012 07:48:29
3,1002-2012,5/11/2012 8:03,52.9236983,5.430779,1,5/11/2012 08:03:24
4,1002-2012,5/11/2012 8:18,52.9203792,5.4349416,1,5/11/2012 08:18:39
5,1002-2012,5/11/2012 8:33,52.9201593,5.4341411,1,5/11/2012 08:33:34
6,1002-2012,5/11/2012 8:48,52.9201391,5.4342359,1,5/11/2012 08:48:27
7,1002-2012,5/11/2012 9:03,52.9205158,5.4350871,1,5/11/2012 09:03:42
8,1002-2012,5/11/2012 9:18,52.9249827,5.444041,1,5/11/2012 09:18:35
9,1002-2012,5/11/2012 9:33,52.9264041,5.4401687,1,5/11/2012 09:33:31
10,1002-2012,5/11/2012 9:48,52.9288476,5.4384775,1,5/11/2012 09:48:27
11,1002-2012,5/11/2012 10:04,52.9284083,5.4387211,1,5/11/2012 10:04:39
12,1002-2012,5/11/2012 10:19,52.9263721,5.4401576,1,5/11/2012 10:19:39
13,1002-2012,5/11/2012 10:35,52.9264164,5.4401729,1,5/11/2012 10:35:27
14,1002-2012,5/11/2012 10:50,52.9303138,5.4371413,1,5/11/2012 10:50:53
15,1002-2012,5/11/2012 11:06,52.9299711,5.4371605,1,5/11/2012 11:06:09
16,1002-2012,5/11/2012 11:20,52.9302336,5.4369157,1,5/11/2012 11:20:59
17,1002-2012,5/11/2012 11:35,52.9302501,5.4369817,1,5/11/2012 11:35:55
18,1002-2012,5/11/2012 11:50,52.9302437,5.4368728,1,5/11/2012 11:50:51
19,1002-2012,5/11/2012 12:05,52.9308072,5.4397862,1,5/11/2012 12:05:47
20,1002-2012,5/11/2012 12:20,52.9301689,5.4366581,1,5/11/2012 12:20:59
21,1002-2012,5/11/2012 12:35,52.9302414,5.4368845,1,5/11/2012 12:35:55
22,1002-2012,5/11/2012 12:50,52.9301481,5.4372664,1,5/11/2012 12:50:50
23,1002-2012,5/11/2012 13:06,52.9300354,5.4369129,1,5/11/2012 13:06:10
24,1002-2012,5/11/2012 13:21,52.9300227,5.4369154,1,5/11/2012 13:21:14
25,1002-2012,5/11/2012 13:36,52.9300506,5.4369154,1,5/11/2012 13:36:10
26,1002-2012,5/11/2012 13:51,52.9300562,5.4369272,1,5/11/2012 13:51:06
27,1002-2012,5/11/2012 14:06,52.9300425,5.4369207,1,5/11/2012 14:06:18
28,1002-2012,5/11/2012 14:21,52.9300413,5.4369486,1,5/11/2012 14:21:14
29,1002-2012,5/11/2012 14:36,52.9300533,5.4369626,1,5/11/2012 14:36:10
30,1002-2012,5/11/2012 14:51,52.9301012,5.4368805,1,5/11/2012 14:51:08
31,1002-2012,5/11/2012 15:06,52.9300668,5.436923,1,5/11/2012 15:06:03
32,1002-2012,5/11/2012 15:21,52.930032,5.4370198,1,5/11/2012 15:21:02
33,1002-2012,5/11/2012 15:36,52.9303236,5.4372811,1,5/11/2012 15:36:11
