,ID,longitude,latitude,date_time,b,t
69,1008-2013,5.4328388,52.9212017,5/28/2013 7:05,1,5/28/2013 07:05:00
70,1008-2013,5.4323921,52.9215168,5/28/2013 8:05,1,5/28/2013 08:05:00
71,1008-2013,5.4314984,52.9220001,5/28/2013 9:06,1,5/28/2013 09:06:00
72,1008-2013,5.4325138,52.9213912,5/28/2013 10:08,1,5/28/2013 10:08:00
73,1008-2013,5.4324205,52.9214836,5/28/2013 11:08,1,5/28/2013 11:08:00
74,1008-2013,5.4325742,52.9213796,5/28/2013 12:08,1,5/28/2013 12:08:00
75,1008-2013,5.4332356,52.920947,5/28/2013 14:08,1,5/28/2013 14:08:00
76,1008-2013,5.4325251,52.9214933,5/28/2013 15:09,1,5/28/2013 15:09:00
77,1008-2013,5.4328134,52.9215678,5/28/2013 16:10,1,5/28/2013 16:10:00
78,1008-2013,5.4317999,52.9213576,5/28/2013 17:11,1,5/28/2013 17:11:00
79,1008-2013,5.4327612,52.9212713,5/28/2013 18:12,1,5/28/2013 18:12:00
80,1008-2013,5.4328763,52.921322,5/28/2013 19:12,1,5/28/2013 19:12:00
81,1008-2013,5.433541,52.9213505,5/28/2013 20:13,1,5/28/2013 20:13:00
82,1008-2013,5.434203,52.9214735,5/28/2013 21:13,1,5/28/2013 21:13:00
83,1008-2013,5.4308783,52.9257542,5/28/2013 22:13,-1,5/28/2013 22:13:00
84,1008-2013,5.430827,52.92575,5/28/2013 22:44,1,5/28/2013 22:44:00
85,1008-2013,5.4308424,52.9257346,5/28/2013 23:15,1,5/28/2013 23:15:00
86,1008-2013,5.4308985,52.9258019,5/28/2013 23:45,1,5/28/2013 23:45:00
87,1008-2013,5.4308797,52.9257682,5/29/2013 0:16,1,5/29/2013 00:16:00
88,1008-2013,5.4308339,52.9257481,5/29/2013 0:47,1,5/29/2013 00:47:00
89,1008-2013,5.4308447,52.9257506,5/29/2013 1:17,1,5/29/2013 01:17:00
90,1008-2013,5.4373097,52.9234962,5/29/2013 1:46,1,5/29/2013 01:46:00
91,1008-2013,5.4368885,52.9232736,5/29/2013 2:17,1,5/29/2013 02:17:00
92,1008-2013,5.4345493,52.9218848,5/29/2013 2:47,1,5/29/2013 02:47:00
93,1008-2013,5.4345895,52.9218693,5/29/2013 3:16,1,5/29/2013 03:16:00
94,1008-2013,5.4345594,52.921893,5/29/2013 3:47,1,5/29/2013 03:47:00
95,1008-2013,5.4325533,52.9213734,5/29/2013 4:11,1,5/29/2013 04:11:00
96,1008-2013,5.4324985,52.9213837,5/29/2013 4:26,1,5/29/2013 04:26:00
97,1008-2013,5.4324951,52.9213583,5/29/2013 4:55,1,5/29/2013 04:55:00
98,1008-2013,5.4325181,52.9213814,5/29/2013 5:23,1,5/29/2013 05:23:00
99,1008-2013,5.4325147,52.9214109,5/29/2013 5:38,1,5/29/2013 05:38:00
100,1008-2013,5.4324976,52.9213939,5/29/2013 5:53,1,5/29/2013 05:53:00
101,1008-2013,5.4324821,52.9213979,5/29/2013 6:08,1,5/29/2013 06:08:00
102,1008-2013,5.4329562,52.921472,5/29/2013 6:38,1,5/29/2013 06:38:00
103,1008-2013,5.4322901,52.9215017,5/29/2013 6:53,1,5/29/2013 06:53:00
104,1008-2013,5.4318404,52.9213528,5/29/2013 7:08,1,5/29/2013 07:08:00
105,1008-2013,5.433205,52.9213845,5/29/2013 7:23,1,5/29/2013 07:23:00
106,1008-2013,5.4327776,52.9213764,5/29/2013 7:40,1,5/29/2013 07:40:00
107,1008-2013,5.4328066,52.9212639,5/29/2013 7:55,1,5/29/2013 07:55:00
108,1008-2013,5.4327566,52.9212985,5/29/2013 8:11,1,5/29/2013 08:11:00
109,1008-2013,5.4327151,52.9213037,5/29/2013 8:26,1,5/29/2013 08:26:00
110,1008-2013,5.4326994,52.9212901,5/29/2013 8:41,1,5/29/2013 08:41:00
111,1008-2013,5.4326607,52.9212687,5/29/2013 8:56,1,5/29/2013 08:56:00
112,1008-2013,5.4328481,52.9212106,5/29/2013 9:11,4,5/29/2013 09:11:00
113,1008-2013,5.4327418,52.921265,5/29/2013 9:27,4,5/29/2013 09:27:00
114,1008-2013,5.432661,52.9212461,5/29/2013 9:42,4,5/29/2013 09:42:00
115,1008-2013,5.4328852,52.9211368,5/29/2013 9:57,4,5/29/2013 09:57:00
116,1008-2013,5.4327787,52.9212606,5/29/2013 10:12,4,5/29/2013 10:12:00
117,1008-2013,5.4328674,52.9212016,5/29/2013 10:37,4,5/29/2013 10:37:00
118,1008-2013,5.4326945,52.9212201,5/29/2013 10:52,4,5/29/2013 10:52:00
119,1008-2013,5.4326591,52.9211838,5/29/2013 11:07,4,5/29/2013 11:07:00
120,1008-2013,5.4327028,52.9213057,5/29/2013 11:22,4,5/29/2013 11:22:00
121,1008-2013,5.4326163,52.9214059,5/29/2013 11:36,4,5/29/2013 11:36:00
122,1008-2013,5.4326152,52.9212909,5/29/2013 11:52,4,5/29/2013 11:52:00
123,1008-2013,5.4326563,52.9212944,5/29/2013 12:07,4,5/29/2013 12:07:00
124,1008-2013,5.4327755,52.9213356,5/29/2013 12:35,4,5/29/2013 12:35:00
125,1008-2013,5.4324355,52.9214514,5/29/2013 12:50,4,5/29/2013 12:50:00
126,1008-2013,5.4326638,52.9211954,5/29/2013 13:06,4,5/29/2013 13:06:00
127,1008-2013,5.4324249,52.9213472,5/29/2013 13:23,4,5/29/2013 13:23:00
128,1008-2013,5.4323797,52.9213489,5/29/2013 13:38,4,5/29/2013 13:38:00
129,1008-2013,5.4325079,52.921513,5/29/2013 14:08,4,5/29/2013 14:08:00
130,1008-2013,5.4329105,52.9211888,5/29/2013 14:39,4,5/29/2013 14:39:00
131,1008-2013,5.4328979,52.9212445,5/29/2013 15:08,4,5/29/2013 15:08:00
132,1008-2013,5.4330355,52.9212002,5/29/2013 15:38,4,5/29/2013 15:38:00
133,1008-2013,5.4332017,52.921477,5/29/2013 16:08,4,5/29/2013 16:08:00
134,1008-2013,5.4331909,52.9212558,5/29/2013 16:23,4,5/29/2013 16:23:00
135,1008-2013,5.4330718,52.9213538,5/29/2013 16:38,4,5/29/2013 16:38:00
136,1008-2013,5.4330402,52.9213772,5/29/2013 17:08,4,5/29/2013 17:08:00
137,1008-2013,5.4330512,52.9213507,5/29/2013 17:23,4,5/29/2013 17:23:00
138,1008-2013,5.4329285,52.9212182,5/29/2013 17:38,4,5/29/2013 17:38:00
139,1008-2013,5.4329714,52.9210197,5/29/2013 17:56,4,5/29/2013 17:56:00
140,1008-2013,5.4335163,52.9216023,5/29/2013 18:12,4,5/29/2013 18:12:00
141,1008-2013,5.4332469,52.9216127,5/29/2013 18:29,4,5/29/2013 18:29:00
142,1008-2013,5.4333453,52.9215285,5/29/2013 18:44,4,5/29/2013 18:44:00
143,1008-2013,5.4333723,52.9215632,5/29/2013 18:59,4,5/29/2013 18:59:00
144,1008-2013,5.4333685,52.9215553,5/29/2013 19:14,4,5/29/2013 19:14:00
145,1008-2013,5.4335061,52.9215707,5/29/2013 19:29,4,5/29/2013 19:29:00
146,1008-2013,5.4334706,52.9216079,5/29/2013 19:59,4,5/29/2013 19:59:00
147,1008-2013,5.4335137,52.9215787,5/29/2013 20:30,4,5/29/2013 20:30:00
148,1008-2013,5.4334844,52.9215727,5/29/2013 21:00,4,5/29/2013 21:00:00
149,1008-2013,5.4335107,52.9215688,5/29/2013 21:29,4,5/29/2013 21:29:00
150,1008-2013,5.4335194,52.9215865,5/29/2013 22:00,4,5/29/2013 22:00:00
151,1008-2013,5.4335083,52.9215517,5/29/2013 22:29,4,5/29/2013 22:29:00
152,1008-2013,5.4335335,52.9215674,5/29/2013 22:59,4,5/29/2013 22:59:00
153,1008-2013,5.4335024,52.9215767,5/29/2013 23:30,4,5/29/2013 23:30:00
154,1008-2013,5.4334886,52.9215566,5/30/2013 0:00,4,5/30/2013 00:00:00
155,1008-2013,5.4334827,52.9215671,5/30/2013 0:30,4,5/30/2013 00:30:00
156,1008-2013,5.4335141,52.921593,5/30/2013 1:00,4,5/30/2013 01:00:00
157,1008-2013,5.4334817,52.9215721,5/30/2013 1:30,4,5/30/2013 01:30:00
158,1008-2013,5.4334838,52.9215745,5/30/2013 2:00,4,5/30/2013 02:00:00
159,1008-2013,5.4334772,52.9215591,5/30/2013 2:30,4,5/30/2013 02:30:00
160,1008-2013,5.4334743,52.9215623,5/30/2013 3:00,4,5/30/2013 03:00:00
161,1008-2013,5.433582,52.9215647,5/30/2013 3:24,4,5/30/2013 03:24:00
162,1008-2013,5.4335978,52.9216023,5/30/2013 3:39,4,5/30/2013 03:39:00
163,1008-2013,5.433563,52.9215167,5/30/2013 4:07,4,5/30/2013 04:07:00
164,1008-2013,5.4335752,52.9215143,5/30/2013 4:22,4,5/30/2013 04:22:00
165,1008-2013,5.4335265,52.9216089,5/30/2013 4:37,4,5/30/2013 04:37:00
166,1008-2013,5.4334638,52.9215568,5/30/2013 4:53,4,5/30/2013 04:53:00
167,1008-2013,5.4336641,52.9214713,5/30/2013 5:08,4,5/30/2013 05:08:00
168,1008-2013,5.4331897,52.9213849,5/30/2013 5:23,4,5/30/2013 05:23:00
169,1008-2013,5.4332314,52.9213836,5/30/2013 5:38,4,5/30/2013 05:38:00
170,1008-2013,5.4332027,52.9214982,5/30/2013 5:53,4,5/30/2013 05:53:00
171,1008-2013,5.4336593,52.9214179,5/30/2013 6:08,4,5/30/2013 06:08:00
172,1008-2013,5.4333534,52.9213988,5/30/2013 6:23,4,5/30/2013 06:23:00
173,1008-2013,5.4334807,52.9214867,5/30/2013 6:38,4,5/30/2013 06:38:00
174,1008-2013,5.4337352,52.9211704,5/30/2013 6:53,4,5/30/2013 06:53:00
175,1008-2013,5.4336401,52.9211473,5/30/2013 7:08,4,5/30/2013 07:08:00
176,1008-2013,5.433506,52.9213719,5/30/2013 7:24,4,5/30/2013 07:24:00
177,1008-2013,5.4332424,52.9214252,5/30/2013 7:39,4,5/30/2013 07:39:00
178,1008-2013,5.4333591,52.9213395,5/30/2013 7:54,4,5/30/2013 07:54:00
179,1008-2013,5.4336753,52.9212236,5/30/2013 8:10,4,5/30/2013 08:10:00
180,1008-2013,5.4336788,52.9213446,5/30/2013 8:27,4,5/30/2013 08:27:00
181,1008-2013,5.4335506,52.9213976,5/30/2013 8:42,4,5/30/2013 08:42:00
182,1008-2013,5.4334978,52.9216188,5/30/2013 8:57,4,5/30/2013 08:57:00
183,1008-2013,5.4335109,52.9216185,5/30/2013 9:12,4,5/30/2013 09:12:00
184,1008-2013,5.4328519,52.9214537,5/30/2013 9:27,4,5/30/2013 09:27:00
185,1008-2013,5.4336639,52.921337,5/30/2013 9:42,4,5/30/2013 09:42:00
186,1008-2013,5.4336597,52.9211726,5/30/2013 9:58,4,5/30/2013 09:58:00
187,1008-2013,5.433585,52.9213628,5/30/2013 10:13,4,5/30/2013 10:13:00
188,1008-2013,5.4336981,52.9214303,5/30/2013 10:27,4,5/30/2013 10:27:00
189,1008-2013,5.4333687,52.921484,5/30/2013 10:43,4,5/30/2013 10:43:00
190,1008-2013,5.4332935,52.9214425,5/30/2013 10:59,4,5/30/2013 10:59:00
