"","x","y","t","date_time"
"1",663404.853036661,5866550.07823512,1336722024,2012-05-11 03:40:24
"2",663643.207050532,5866159.26157233,1336726061,2012-05-11 04:47:41
"3",663562.689408206,5866274.18533077,1336728766,2012-05-11 05:32:46
"4",663536.527158951,5866248.13555033,1336729660,2012-05-11 05:47:40
"5",663642.037273373,5866246.53536448,1336731487,2012-05-11 06:18:07
"6",663613.976540301,5866258.42138689,1336732859.5,2012-05-11 06:40:59
"7",663601.231723363,5866268.92289661,1336734220,2012-05-11 07:03:40
"8",663592.022311508,5866268.23765937,1336735563.5,2012-05-11 07:26:03
"9",663609.711446749,5866270.78589173,1336737369,2012-05-11 07:56:09
"10",663619.01964911,5866253.97174117,1336738731,2012-05-11 08:18:51
"11",663613.67471539,5866267.12355835,1336740096.5,2012-05-11 08:41:36
"12",663585.951914043,5866262.39800924,1336741896.5,2012-05-11 09:11:36
"13",663624.534594752,5866241.16528486,1336744588,2012-05-11 09:56:28
"14",663621.209238647,5866245.56182145,1336746394.5,2012-05-11 10:26:34
"15",663589.152424846,5866238.16185864,1336749531,2012-05-11 11:18:51
"16",663586.804342122,5866222.46671368,1336750893.5,2012-05-11 11:41:33
"17",663578.106966905,5866207.46931084,1336752250,2012-05-11 12:04:10
"18",663582.71540731,5866207.70348272,1336753593.5,2012-05-11 12:26:33
"19",663596.807302878,5866239.4457257,1336755880,2012-05-11 13:04:40
"20",663580.678123213,5866206.06450971,1336756776,2012-05-11 13:19:36
"21",663601.095911387,5866241.86805843,1336758137,2012-05-11 13:42:17
"22",663623.232756095,5866255.94059732,1336760388,2012-05-11 14:19:48
"23",663605.999101119,5866212.66817226,1336762207,2012-05-11 14:50:07
"24",663570.615763636,5866203.34070233,1336764010,2012-05-11 15:20:10
"25",663559.437763903,5866215.26493946,1336765806,2012-05-11 15:50:06
"26",663581.097340791,5866241.1399208,1336767639,2012-05-11 16:20:39
"27",663992.813869635,5867356.38173079,1336771243,2012-05-11 17:20:43
"28",663987.298964684,5867352.56449865,1336773044,2012-05-11 17:50:44
"29",663986.666280836,5867355.73848895,1336774873,2012-05-11 18:21:13
"30",663967.525520222,5867349.00853487,1336776696,2012-05-11 18:51:36
"31",663964.744990479,5867348.66906308,1336778487,2012-05-11 19:21:27
"32",663968.645973744,5867348.90187983,1336780279,2012-05-11 19:51:19
"33",663964.111957189,5867348.29125151,1336782103,2012-05-11 20:21:43
"34",663961.768678696,5867353.09948568,1336783907,2012-05-11 20:51:47
"35",663959.322401032,5867349.85423335,1336785729,2012-05-11 21:22:09
"36",663960.12574502,5867350.96155294,1336787543,2012-05-11 21:52:23
"37",663619.469308449,5866240.31433974,1336791127,2012-05-11 22:52:07
"38",663614.534756658,5866242.75238772,1336792919,2012-05-11 23:21:59
"39",663618.158922634,5866246.01508994,1336794759,2012-05-11 23:52:39
"40",663617.252188982,5866246.16248846,1336796549,2012-05-12 00:22:29
"41",663616.371266691,5866246.73942468,1336798796,2012-05-12 00:59:56
"42",663616.555013404,5866246.6788509,1336800596.5,2012-05-12 01:29:56
"43",663614.281315177,5866248.04361525,1336801940,2012-05-12 01:52:20
"44",663617.133262884,5866246.69289155,1336803760,2012-05-12 02:22:40
"45",663616.488429004,5866246.45947828,1336804660,2012-05-12 02:37:40
"46",663616.629161468,5866245.48445149,1336806025,2012-05-12 03:00:25
"47",663619.388008502,5866242.8111869,1336807848.5,2012-05-12 03:30:48
"48",663618.4897901,5866242.60814722,1336809219,2012-05-12 03:53:39
"49",663604.661725336,5866234.0503614,1336810571,2012-05-12 04:16:11
"50",663601.510167407,5866246.51944974,1336812371.5,2012-05-12 04:46:11
"51",663607.810009916,5866244.00519764,1336813715,2012-05-12 05:08:35
"52",663609.657006486,5866252.44621917,1336815060.5,2012-05-12 05:31:00
"53",663614.432473077,5866247.15801532,1336816879.5,2012-05-12 06:01:19
"54",663617.472717387,5866247.79554195,1336818242,2012-05-12 06:24:02
"55",663616.941162719,5866244.91605922,1336819587,2012-05-12 06:46:27
"56",663618.666571361,5866242.15764455,1336821378,2012-05-12 07:16:18
"57",663596.757134887,5866195.27514967,1336824081.5,2012-05-12 08:01:21
"58",663593.114675472,5866199.29910356,1336825888,2012-05-12 08:31:28
"59",663577.161944294,5866210.53254635,1336827249,2012-05-12 08:54:09
"60",663578.864773128,5866215.78431931,1336828602.5,2012-05-12 09:16:42
"61",663593.13897531,5866234.70627836,1336830401,2012-05-12 09:46:41
"62",663598.181519884,5866236.02962089,1336831773,2012-05-12 10:09:33
"63",663617.368931558,5866248.27635508,1336833120.5,2012-05-12 10:32:00
"64",663618.05470478,5866247.79857568,1336834920,2012-05-12 11:02:00
"65",663619.519289293,5866244.99234781,1336836273,2012-05-12 11:24:33
"66",663599.290823113,5866234.07426212,1336837617.5,2012-05-12 11:46:57
"67",663576.709818568,5866208.48525539,1336839427,2012-05-12 12:17:07
"68",663566.388800881,5866215.27788189,1336840784,2012-05-12 12:39:44
"69",663595.288441304,5866199.79032208,1336842158,2012-05-12 13:02:38
"70",663602.558843474,5866193.36194655,1336843951.5,2012-05-12 13:32:31
"71",663610.585431304,5866192.71553769,1336845295,2012-05-12 13:54:55
"72",663600.90939228,5866195.07077149,1336847114,2012-05-12 14:25:14
"73",663576.616020159,5866198.84553067,1336848914,2012-05-12 14:55:14
"74",663618.429873251,5866245.36736707,1336850703,2012-05-12 15:25:03
"75",663552.905914523,5866216.98086246,1336852512,2012-05-12 15:55:12
"76",661954.347760452,5865600.53433207,1336857919,2012-05-12 17:25:19
"77",661952.559736388,5865607.08784498,1336859732,2012-05-12 17:55:32
"78",661952.175750141,5865604.69231275,1336861537,2012-05-12 18:25:37
"79",661978.117910225,5865759.75586474,1336865137,2012-05-12 19:25:37
"80",661972.468832261,5865752.21790707,1336866940,2012-05-12 19:55:40
"81",661971.972157742,5865753.78224645,1336868733,2012-05-12 20:25:33
"82",661969.108074251,5865752.69520571,1336870548,2012-05-12 20:55:48
"83",661969.620895128,5865756.06371156,1336872363,2012-05-12 21:26:03
"84",661966.980536268,5865756.13096919,1336874157,2012-05-12 21:55:57
"85",663679.579064732,5866266.41377675,1336877799,2012-05-12 22:56:39
"86",663616.269321063,5866246.17369656,1336879597,2012-05-12 23:26:37
"87",663616.908386808,5866245.7834058,1336881391,2012-05-12 23:56:31
"88",663616.882010173,5866245.37055047,1336883223,2012-05-13 00:27:03
"89",663615.499303966,5866245.06758044,1336885018,2012-05-13 00:56:58
"90",663615.515767447,5866248.35269192,1336885916,2012-05-13 01:11:56
"91",663617.827677486,5866249.43315428,1336887261,2012-05-13 01:34:21
"92",663614.600236664,5866246.87421714,1336889076,2012-05-13 02:04:36
"93",663616.458546772,5866245.35619119,1336890427,2012-05-13 02:27:07
"94",663616.894235394,5866248.48294014,1336891784.5,2012-05-13 02:49:44
"95",663621.984666969,5866246.11141853,1336893602.5,2012-05-13 03:20:02
"96",663620.51351487,5866252.38568827,1336894964,2012-05-13 03:42:44
"97",663607.010149627,5866255.29031848,1336896332.5,2012-05-13 04:05:32
"98",663598.802635344,5866265.34443591,1336897720,2012-05-13 04:28:40
"99",663611.35484676,5866272.62863553,1336898618,2012-05-13 04:43:38
"100",663620.400523259,5866244.60470232,1336900873.5,2012-05-13 05:21:13
"101",663618.719390916,5866242.78294406,1336902220,2012-05-13 05:43:40
"102",663617.643674525,5866244.63926081,1336903561.5,2012-05-13 06:06:01
"103",663616.721324241,5866246.8348002,1336905360,2012-05-13 06:36:00
"104",663616.856544325,5866246.71691048,1336906730,2012-05-13 06:58:50
"105",663616.780998224,5866247.05950522,1336908072.5,2012-05-13 07:21:12
"106",663615.009788718,5866244.91737262,1336909863.5,2012-05-13 07:51:03
"107",663614.391410005,5866245.98754388,1336911210,2012-05-13 08:13:30
"108",663591.99265196,5866187.9321331,1336913018,2012-05-13 08:43:38
"109",663595.699758027,5866184.38357319,1336913912,2012-05-13 08:58:32
"110",663639.874412248,5866229.7497565,1336916648,2012-05-13 09:44:08
"111",663627.756258204,5866222.95897187,1336918497,2012-05-13 10:14:57
"112",663564.94184979,5866210.31870715,1336920324,2012-05-13 10:45:24
"113",663618.733178695,5866244.5592972,1336923487,2012-05-13 11:38:07
"114",663616.652210235,5866245.79698722,1336924869,2012-05-13 12:01:09
"115",663616.345278762,5866247.40658798,1336926214.5,2012-05-13 12:23:34
"116",663617.365948816,5866249.95193282,1336927558,2012-05-13 12:45:58
"117",663604.19970739,5866185.95218263,1336929351,2012-05-13 13:15:51
"118",663562.752734191,5866196.48278877,1336931158,2012-05-13 13:45:58
"119",663565.515816382,5866212.64291639,1336932054,2012-05-13 14:00:54
"120",663544.844158315,5866194.94050582,1336933857,2012-05-13 14:30:57
"121",663568.486403292,5866206.9984335,1336935699,2012-05-13 15:01:39
"122",663669.320837959,5866293.07709671,1336939312,2012-05-13 16:01:52
"123",663649.701024701,5866288.82644664,1336941129,2012-05-13 16:32:09
"124",663618.923395568,5866310.98610032,1336942935,2012-05-13 17:02:15
"125",663968.075085659,5867377.17433649,1336946522,2012-05-13 18:02:02
"126",663978.571840562,5867377.53117936,1336948353,2012-05-13 18:32:33
"127",663964.767876868,5867369.56863113,1336950152,2012-05-13 19:02:32
"128",663975.025221591,5867360.54237576,1336951943,2012-05-13 19:32:23
"129",663974.670555309,5867342.08103873,1336953777,2012-05-13 20:02:57
"130",663974.976027363,5867348.92778898,1336955571,2012-05-13 20:32:51
"131",663974.700620152,5867343.37362172,1336957377,2012-05-13 21:02:57
"132",663982.914102409,5867334.9014104,1336959186,2012-05-13 21:33:06
"133",663618.006655381,5866296.34710022,1336962787,2012-05-13 22:33:07
"134",663615.907278236,5866239.98200637,1336964580,2012-05-13 23:03:00
"135",663616.678119515,5866244.23909475,1336968207,2012-05-14 00:03:27
"136",663620.09184884,5866243.58660103,1336970019,2012-05-14 00:33:39
"137",663617.314280056,5866244.72829774,1336971697,2012-05-14 01:01:37
"138",663617.396935715,5866243.77913679,1336973041,2012-05-14 01:24:01
"139",663615.958430123,5866247.90007095,1336975729,2012-05-14 02:08:49
"140",663617.66942915,5866244.67353617,1336977530.5,2012-05-14 02:38:50
"141",663618.050665351,5866243.65099426,1336978900,2012-05-14 03:01:40
"142",663600.552967003,5866273.06402757,1336979793,2012-05-14 03:16:33
"143",663620.529709256,5866249.72519244,1336982480,2012-05-14 04:01:20
"144",663620.612498947,5866243.31477014,1336983394,2012-05-14 04:16:34
"145",663619.393497309,5866244.83220528,1336984736,2012-05-14 04:38:56
"146",663618.510323781,5866249.94063458,1336986528.5,2012-05-14 05:08:48
"147",663613.651955519,5866257.47510729,1336987884,2012-05-14 05:31:24
"148",663617.598399824,5866248.85197429,1336989257,2012-05-14 05:54:17
"149",663633.372567031,5866240.00644476,1336991071,2012-05-14 06:24:31
"150",663636.079142147,5866234.50890764,1336992415,2012-05-14 06:46:55
"151",663617.581126403,5866243.50703093,1336993759.5,2012-05-14 07:09:19
"152",663623.279706967,5866239.97035222,1336995569,2012-05-14 07:39:29
"153",663621.894026144,5866242.43409821,1336996921,2012-05-14 08:02:01
