"V6","lng","lat","date_time","icons","index"
"1001-2012","5.4338113","52.9209009","2012-05-16T07:11:41Z","1","367"
"1001-2012","5.4338082","52.9209011","2012-05-16T08:12:09Z","1","371"
"1001-2012","5.4338094","52.92091","2012-05-16T08:27:10Z","1","372"
"1001-2012","5.4338109","52.9209095","2012-05-16T09:57:01Z","1","377"
"1001-2012","5.4338133","52.9209138","2012-05-16T10:12:09Z","1","378"
"1001-2012","5.4337919","52.9209282","2012-05-16T10:27:38Z","1","379"
"1001-2012","5.4337728","52.9209131","2012-05-16T14:17:31Z","1","394"
"1001-2012","5.4338053","52.9209134","2012-05-17T02:22:09Z","1","421"
"1001-2012","5.4337759","52.9209198","2012-05-17T03:07:01Z","1","423"
"1001-2012","5.4337947","52.9209131","2012-05-17T03:21:57Z","1","424"
"1001-2012","5.433777","52.9209183","2012-05-17T03:37:09Z","1","425"
"1001-2012","5.433779","52.9209195","2012-05-17T03:52:09Z","1","426"
"1001-2012","5.4337895","52.9209145","2012-05-17T04:07:02Z","1","427"
"1001-2012","5.433803","52.9208906","2012-05-17T04:36:54Z","1","429"
"1001-2012","5.4337927","52.9208895","2012-05-17T06:08:09Z","1","435"
"1001-2012","5.4337851","52.9209003","2012-05-17T06:38:08Z","1","437"
"1001-2012","5.433786","52.9209114","2012-05-17T06:53:24Z","1","438"
"1001-2012","5.4337903","52.9208941","2012-05-17T07:08:20Z","1","439"
"1001-2012","5.4337821","52.9209014","2012-05-17T07:53:23Z","1","442"
"1001-2012","5.4337936","52.9209118","2012-05-17T08:08:23Z","1","443"
"1001-2012","5.4338022","52.9209103","2012-05-17T08:23:28Z","1","444"
"1001-2012","5.4338114","52.9209062","2012-05-17T08:39:10Z","1","445"
"1001-2012","5.433819","52.9209013","2012-05-17T08:54:11Z","1","446"
"1001-2012","5.4338137","52.9208907","2012-05-17T09:09:07Z","1","447"
"1001-2012","5.4338056","52.9208929","2012-05-17T09:24:03Z","1","448"
"1001-2012","5.4337893","52.9209136","2012-05-17T09:38:59Z","1","449"
"1001-2012","5.4338052","52.9209084","2012-05-17T09:53:56Z","1","450"
"1001-2012","5.4337942","52.9208916","2012-05-17T10:08:52Z","1","451"
"1001-2012","5.4337964","52.9209083","2012-05-17T10:23:46Z","1","452"
"1001-2012","5.4337836","52.9209043","2012-05-17T10:38:42Z","1","453"
"1001-2012","5.4337792","52.920892","2012-05-17T10:53:41Z","1","454"
"1001-2012","5.4338003","52.9208941","2012-05-17T12:39:46Z","1","461"
"1001-2012","5.4337988","52.9208884","2012-05-17T13:09:37Z","1","463"
"1001-2012","5.4337674","52.9209139","2012-05-18T01:00:39Z","1","519"
"1001-2012","5.4337683","52.9209115","2012-05-18T01:30:36Z","1","520"
"1001-2012","5.4337603","52.9209063","2012-05-18T02:00:45Z","1","521"
"1001-2012","5.433765","52.9209122","2012-05-18T02:31:10Z","1","522"
"1001-2012","5.4337962","52.9209017","2012-05-18T03:01:02Z","1","523"
"1001-2012","5.4338132","52.9209155","2012-05-18T03:30:53Z","1","524"
"1001-2012","5.4338023","52.9209108","2012-05-18T04:01:00Z","1","525"
"1001-2012","5.4337894","52.9209103","2012-05-18T04:30:51Z","1","526"
"1001-2012","5.4338002","52.9208918","2012-05-18T05:00:49Z","1","527"
"1001-2012","5.4337954","52.9209091","2012-05-18T06:31:07Z","1","530"
