"V6","lng","lat","date_time","icons","index"
"2015-2014","5.43177097994567","52.9293352568191","2013-12-31T23:30:38Z","2","1"
"2015-2014","2.888514","51.0324341","2014-05-04T18:27:15Z","1","2"
"2015-2014","3.1322211","51.3137256","2014-05-04T18:57:29Z","1","3"
"2015-2014","3.5088763","51.5321844","2014-05-04T19:28:02Z","1","4"
"2015-2014","3.758048","51.7325851","2014-05-04T19:57:54Z","1","5"
"2015-2014","4.0734234","51.8714037","2014-05-04T20:27:47Z","1","6"
"2015-2014","4.4131888","52.0249573","2014-05-04T20:57:55Z","1","7"
"2015-2014","4.8142167","52.193606","2014-05-04T21:27:46Z","1","8"
"2015-2014","4.9985826","52.4735141","2014-05-04T21:57:38Z","1","9"
"2015-2014","5.1791559","52.7648851","2014-05-04T22:28:02Z","1","10"
"2015-2014","5.4398741","52.9310904","2014-05-04T22:58:22Z","1","11"
"2015-2014","5.4397991","52.9313608","2014-05-04T23:37:03Z","1","12"
"2015-2014","5.4397","52.9314782","2014-05-05T00:13:54Z","1","13"
"2015-2014","5.4393726","52.9315222","2014-05-05T00:46:57Z","1","14"
"2015-2014","5.4322007","52.9269915","2014-05-05T01:19:29Z","1","15"
"2015-2014","5.432697","52.9265202","2014-05-05T01:49:29Z","1","16"
"2015-2014","5.4324301","52.927177","2014-05-05T02:19:56Z","1","17"
"2015-2014","5.4326849","52.9273202","2014-05-05T02:49:52Z","1","18"
"2015-2014","5.4328035","52.9267514","2014-05-05T03:20:02Z","1","19"
"2015-2014","5.4322527","52.9275066","2014-05-05T03:50:39Z","1","20"
"2015-2014","5.4328943","52.9265664","2014-05-05T04:20:32Z","1","21"
"2015-2014","5.4330053","52.9265335","2014-05-05T04:50:44Z","1","22"
"2015-2014","5.4325003","52.9271977","2014-05-05T05:20:30Z","1","23"
"2015-2014","5.4323784","52.9271623","2014-05-05T05:50:39Z","1","24"
"2015-2014","5.4326049","52.9270396","2014-05-05T06:05:48Z","1","25"
"2015-2014","5.432827","52.9270741","2014-05-05T06:21:36Z","1","26"
"2015-2014","5.4332622","52.9265796","2014-05-05T06:36:31Z","1","27"
"2015-2014","5.4331642","52.9266096","2014-05-05T06:51:26Z","1","28"
"2015-2014","5.4330971","52.9267358","2014-05-05T07:20:32Z","1","29"
"2015-2014","5.4331312","52.9266835","2014-05-05T07:52:32Z","1","30"
"2015-2014","5.4331147","52.9266336","2014-05-05T08:08:31Z","1","31"
"2015-2014","5.433134","52.926528","2014-05-05T08:23:44Z","1","32"
"2015-2014","5.4331157","52.9266656","2014-05-05T08:38:39Z","1","33"
"2015-2014","5.4331358","52.926667","2014-05-05T08:53:33Z","1","34"
"2015-2014","5.4329949","52.9262888","2014-05-05T09:08:29Z","1","35"
"2015-2014","5.4330888","52.9261639","2014-05-05T09:23:25Z","1","36"
"2015-2014","5.433073","52.9261437","2014-05-05T09:38:21Z","1","37"
"2015-2014","5.4330185","52.9261674","2014-05-05T09:53:19Z","1","38"
"2015-2014","5.433219","52.9261549","2014-05-05T10:12:38Z","1","39"
"2015-2014","5.4330443","52.9266404","2014-05-05T10:27:42Z","1","40"
"2015-2014","5.4330026","52.9266809","2014-05-05T10:45:33Z","1","41"
"2015-2014","5.4329967","52.926704","2014-05-05T11:01:00Z","1","42"
"2015-2014","5.4327154","52.9268581","2014-05-05T11:24:52Z","1","43"
"2015-2014","5.432856","52.926796","2014-05-05T11:49:18Z","1","44"
"2015-2014","5.4332961","52.9266396","2014-05-05T12:15:44Z","1","45"
"2015-2014","5.4330014","52.9267695","2014-05-05T12:43:27Z","1","46"
"2015-2014","5.4331078","52.9266558","2014-05-05T12:58:52Z","1","47"
"2015-2014","5.4330939","52.9265452","2014-05-05T13:37:38Z","1","48"
"2015-2014","5.433054","52.9263611","2014-05-05T13:53:31Z","1","49"
"2015-2014","5.4330031","52.9263083","2014-05-05T14:08:44Z","1","50"
"2015-2014","5.4329906","52.9262557","2014-05-05T14:23:39Z","1","51"
"2015-2014","5.4329406","52.9265033","2014-05-05T14:38:39Z","1","52"
"2015-2014","5.4330457","52.9266149","2014-05-05T14:53:30Z","1","53"
"2015-2014","5.433228","52.926589","2014-05-05T15:08:28Z","1","54"
"2015-2014","5.4328201","52.9268199","2014-05-05T15:23:26Z","1","55"
"2015-2014","5.4328127","52.9268718","2014-05-05T15:38:45Z","1","56"
"2015-2014","5.4323287","52.9273132","2014-05-05T16:08:08Z","1","57"
"2015-2014","5.4326504","52.9271604","2014-05-05T16:23:07Z","1","58"
"2015-2014","5.4324493","52.9272101","2014-05-05T16:38:50Z","1","59"
"2015-2014","5.4322824","52.9272175","2014-05-05T16:54:36Z","1","60"
"2015-2014","5.4331618","52.9270408","2014-05-05T17:09:49Z","1","61"
"2015-2014","5.4396414","52.931227","2014-05-05T17:42:33Z","1","62"
