"V6","lng","lat","date_time","icons","index"
"1002-2012","5.4369154","52.9300506","2012-05-11T11:36:10Z","1","26"
"1002-2012","5.4369272","52.9300562","2012-05-11T11:51:06Z","1","27"
"1002-2012","5.4369207","52.9300425","2012-05-11T12:06:18Z","1","28"
"1002-2012","5.4369486","52.9300413","2012-05-11T12:21:14Z","1","29"
"1002-2012","5.4369626","52.9300533","2012-05-11T12:36:10Z","1","30"
"1002-2012","5.4368805","52.9301012","2012-05-11T12:51:08Z","1","31"
"1002-2012","5.436923","52.9300668","2012-05-11T13:06:03Z","1","32"
"1002-2012","5.4368649","52.9300997","2012-05-11T14:22:02Z","1","37"
"1002-2012","5.4369122","52.9301141","2012-05-11T14:37:08Z","1","38"
"1002-2012","5.4369524","52.9301088","2012-05-11T14:52:40Z","1","39"
"1002-2012","5.436976","52.9300735","2012-05-11T16:24:09Z","1","44"
"1002-2012","5.4369353","52.9300828","2012-05-11T16:54:27Z","1","45"
"1002-2012","5.4369401","52.9300775","2012-05-11T17:24:25Z","1","46"
"1002-2012","5.4369445","52.9300751","2012-05-11T17:55:09Z","1","47"
"1002-2012","5.4369671","52.9301022","2012-05-11T18:25:27Z","1","48"
"1002-2012","5.4369429","52.9300686","2012-05-11T18:55:19Z","1","49"
"1002-2012","5.4369445","52.9300415","2012-05-11T19:25:18Z","1","50"
"1002-2012","5.4369473","52.9300917","2012-05-11T20:55:22Z","1","53"
"1002-2012","5.4369476","52.9300682","2012-05-11T21:25:30Z","1","54"
"1002-2012","5.436943","52.9300837","2012-05-11T21:55:31Z","1","55"
"1002-2012","5.4369235","52.9300508","2012-05-11T22:55:51Z","1","57"
"1002-2012","5.4368898","52.930069","2012-05-11T23:26:02Z","1","58"
"1002-2012","5.4369314","52.9300653","2012-05-11T23:56:10Z","1","59"
"1002-2012","5.4369438","52.9300655","2012-05-12T00:25:59Z","1","60"
"1002-2012","5.4369332","52.9300799","2012-05-12T00:56:33Z","1","61"
"1002-2012","5.4369267","52.930068","2012-05-12T01:26:33Z","1","62"
"1002-2012","5.4369378","52.9300551","2012-05-12T01:57:06Z","1","63"
"1002-2012","5.4369141","52.9300552","2012-05-12T02:57:44Z","1","65"
"1002-2012","5.4369277","52.9300903","2012-05-12T04:13:41Z","1","70"
"1002-2012","5.4368752","52.9300653","2012-05-12T04:28:58Z","1","71"
"1002-2012","5.4369742","52.9301164","2012-05-12T06:04:50Z","1","78"
"1002-2012","5.4369408","52.9300784","2012-05-12T09:49:39Z","1","91"
"1002-2012","5.4370069","52.9301103","2012-05-12T10:09:49Z","1","92"
"1002-2012","5.436905","52.9300801","2012-05-12T11:52:48Z","1","98"
"1002-2012","5.4369639","52.9301038","2012-05-12T12:13:00Z","1","99"
"1002-2012","5.4369456","52.9300947","2012-05-12T12:33:14Z","1","100"
"1002-2012","5.436931","52.9300811","2012-05-12T12:43:24Z","1","101"
"1002-2012","5.4369939","52.9300982","2012-05-12T12:53:21Z","1","102"
"1002-2012","5.4369678","52.9301098","2012-05-12T13:03:14Z","1","103"
"1002-2012","5.4369545","52.9300947","2012-05-12T13:13:07Z","1","104"
"1002-2012","5.4369513","52.9300917","2012-05-12T13:23:09Z","1","105"
"1002-2012","5.4369467","52.9300799","2012-05-12T13:33:07Z","1","106"
"1002-2012","5.4369597","52.9300929","2012-05-12T13:43:39Z","1","107"
"1002-2012","5.4369618","52.9300631","2012-05-12T16:11:09Z","1","115"
"1002-2012","5.4369655","52.9300711","2012-05-12T16:31:10Z","1","116"
"1002-2012","5.4369715","52.9300803","2012-05-12T16:51:10Z","1","117"
"1002-2012","5.4369304","52.9300656","2012-05-12T17:21:13Z","1","118"
"1002-2012","5.4369481","52.9300762","2012-05-12T17:51:40Z","1","119"
"1002-2012","5.436928","52.9300932","2012-05-12T18:21:34Z","1","120"
"1002-2012","5.4369552","52.9300821","2012-05-12T18:51:44Z","1","121"
"1002-2012","5.4369715","52.9300635","2012-05-12T19:21:37Z","1","122"
"1002-2012","5.4369314","52.930074","2012-05-12T19:51:29Z","1","123"
"1002-2012","5.4369217","52.9300641","2012-05-12T20:21:39Z","1","124"
"1002-2012","5.4369522","52.9300586","2012-05-12T20:51:27Z","1","125"
"1002-2012","5.4369196","52.9301085","2012-05-12T21:21:32Z","1","126"
"1002-2012","5.4369618","52.9300487","2012-05-12T21:51:27Z","1","127"
"1002-2012","5.4369404","52.930068","2012-05-12T22:21:31Z","1","128"
"1002-2012","5.436972","52.930093","2012-05-12T22:51:39Z","1","129"
"1002-2012","5.4369819","52.9300833","2012-05-12T23:21:32Z","1","130"
"1002-2012","5.4369854","52.9300784","2012-05-12T23:51:45Z","1","131"
"1002-2012","5.4369812","52.9300555","2012-05-13T00:22:03Z","1","132"
"1002-2012","5.4368884","52.9301062","2012-05-13T00:52:08Z","1","133"
"1002-2012","5.4369454","52.9300793","2012-05-13T01:22:37Z","1","134"
"1002-2012","5.4369469","52.9300674","2012-05-13T01:53:10Z","1","135"
"1002-2012","5.4368702","52.9301039","2012-05-13T03:23:03Z","1","138"
"1002-2012","5.4369069","52.9300871","2012-05-13T05:31:37Z","1","143"
"1002-2012","5.436933","52.9300716","2012-05-13T05:46:33Z","1","144"
"1002-2012","5.4370006","52.9300556","2012-05-13T06:46:17Z","1","148"
"1002-2012","5.4369054","52.9301156","2012-05-13T07:16:39Z","1","150"
"1002-2012","5.4368773","52.9300463","2012-05-13T07:46:33Z","1","152"
"1002-2012","5.4369865","52.9301112","2012-05-13T08:01:57Z","1","153"
"1002-2012","5.4368638","52.9300509","2012-05-13T09:47:20Z","1","160"
"1002-2012","5.4368891","52.9300656","2012-05-13T10:33:09Z","1","163"
"1002-2012","5.4369516","52.930103","2012-05-13T10:48:08Z","1","164"
"1002-2012","5.436956","52.9300813","2012-05-13T11:03:05Z","1","165"
"1002-2012","5.437005","52.9300734","2012-05-13T11:17:59Z","1","166"
"1002-2012","5.4370056","52.9301172","2012-05-13T11:32:58Z","1","167"
"1002-2012","5.4368541","52.9300536","2012-05-14T02:05:56Z","1","207"
"1002-2012","5.4370059","52.9301118","2012-05-15T10:27:19Z","1","287"
"1002-2012","5.4368973","52.9300666","2012-05-15T11:28:09Z","1","290"
