"V6","lng","lat","date_time","icons","index"
"2014-2013","5.43032289155182","52.9260649276781","2013-05-10T09:12:19Z","2","1"
"2014-2013","5.4503024","52.9154865","2013-05-10T09:12:19Z","1","2"
"2014-2013","5.4441803","52.9249868","2013-05-10T10:12:31Z","1","3"
"2014-2013","5.4440951","52.9249862","2013-05-10T11:13:01Z","1","4"
"2014-2013","5.444058","52.9249992","2013-05-10T12:13:26Z","1","5"
"2014-2013","5.4435665","52.924981","2013-05-10T13:13:31Z","1","6"
"2014-2013","5.4443179","52.925075","2013-05-10T14:14:01Z","1","7"
"2014-2013","5.4974035","52.9444089","2013-05-10T15:14:29Z","1","8"
"2014-2013","5.4973893","52.9443921","2013-05-10T16:14:55Z","1","9"
"2014-2013","5.497343","52.9444945","2013-05-10T17:15:15Z","1","10"
"2014-2013","5.4973905","52.9445922","2013-05-10T18:16:08Z","1","11"
"2014-2013","5.4974207","52.9449226","2013-05-10T19:16:53Z","1","12"
"2014-2013","5.4974026","52.9445617","2013-05-10T20:17:05Z","1","13"
"2014-2013","5.4973592","52.9445008","2013-05-10T21:17:26Z","1","14"
"2014-2013","5.4973222","52.944574","2013-05-10T22:18:02Z","1","15"
"2014-2013","5.4973404","52.9444564","2013-05-10T23:18:26Z","1","16"
"2014-2013","5.4999009","52.9440023","2013-05-11T00:18:58Z","1","17"
"2014-2013","5.497313","52.9445206","2013-05-11T01:19:32Z","1","18"
"2014-2013","5.4971341","52.9444285","2013-05-11T02:20:00Z","1","19"
"2014-2013","5.4344205","52.9233386","2013-05-11T03:20:17Z","1","20"
"2014-2013","5.4334394","52.9244393","2013-05-11T04:21:08Z","1","21"
"2014-2013","5.4407244","52.9193863","2013-05-11T05:21:08Z","1","22"
"2014-2013","5.4407485","52.9193848","2013-05-11T06:21:06Z","1","23"
"2014-2013","5.4972416","52.9445015","2013-05-11T07:21:27Z","1","24"
"2014-2013","5.4973426","52.9444955","2013-05-11T08:21:38Z","1","25"
