"ID","lng","lat","date_time","icons","index"
"2002-2014","5.4399647","52.9307883","2014-03-25T18:03:40Z","1","71"
"2002-2014","5.4399208","52.9307479","2014-03-25T19:29:39Z","1","72"
"2002-2014","5.4399775","52.9307655","2014-03-25T20:29:39Z","1","73"
"2002-2014","5.4399502","52.9307856","2014-03-25T21:30:09Z","1","74"
"2002-2014","5.4400742","52.9307444","2014-03-25T22:30:29Z","1","75"
"2002-2014","5.4400187","52.9307289","2014-03-25T23:30:28Z","1","76"
"2002-2014","5.43993200000001","52.9308999","2014-03-26T00:30:37Z","1","77"
"2002-2014","5.44184729999999","52.9242633","2014-03-26T02:35:29Z","1","78"
"2002-2014","5.44175189999999","52.9244445","2014-03-26T04:35:42Z","1","79"
"2002-2014","5.4431898","52.924108","2014-03-26T05:37:51Z","1","80"
"2002-2014","5.4419004","52.924052","2014-03-26T06:07:48Z","1","81"
"2002-2014","5.44182710000001","52.9240822","2014-03-26T06:37:36Z","1","82"
"2002-2014","5.4418316","52.9240742","2014-03-26T07:30:09Z","1","83"
"2002-2014","5.4415974","52.9239817","2014-03-26T08:00:00Z","1","84"
"2002-2014","5.4417406","52.9241144","2014-03-26T08:30:25Z","1","85"
"2002-2014","5.4422973","52.9238076","2014-03-26T09:00:27Z","1","86"
"2002-2014","5.442333","52.9238366","2014-03-26T09:30:28Z","1","87"
"2002-2014","5.44252230000001","52.9238249","2014-03-26T10:00:28Z","1","88"
"2002-2014","5.4432393","52.9241845","2014-03-26T10:30:39Z","1","89"
"2002-2014","5.4435531","52.9241237","2014-03-26T11:01:03Z","1","90"
"2002-2014","5.4434287","52.9240331","2014-03-26T11:31:10Z","1","91"
"2002-2014","5.44342529999999","52.9240427","2014-03-26T12:01:02Z","1","92"
"2002-2014","5.44358350000001","52.9240681","2014-03-26T12:26:28Z","1","93"
"2002-2014","5.44330004999973","52.92369585","2014-03-26T12:52:38Z","1","94"
"2002-2014","5.44243980000001","52.9237681","2014-03-26T13:59:47Z","1","95"
"2002-2014","5.4311945","52.9257295","2014-03-26T14:59:47Z","1","96"
"2002-2014","5.43131429999999","52.9256338","2014-03-26T15:30:03Z","1","97"
"2002-2014","5.4313198","52.925644","2014-03-26T15:59:59Z","1","98"
"2002-2014","5.4398669","52.9307289","2014-03-26T17:00:00Z","1","99"
"2002-2014","5.43987900000001","52.9306852","2014-03-26T18:00:09Z","1","100"
"2002-2014","5.4399181","52.9307133","2014-03-26T18:30:04Z","1","101"
