"V6","lng","lat","date_time","icons","index"
"2015-2014","5.43177097994567","52.9293352568191","2013-12-31T23:30:38Z","2","1"
"2015-2014","5.4316958","52.929338","2014-05-12T02:42:50Z","1","429"
"2015-2014","5.4317015","52.9293276","2014-05-12T03:58:34Z","1","434"
"2015-2014","5.4317557","52.9293468","2014-05-13T14:43:59Z","1","521"
"2015-2014","5.4318147","52.9293246","2014-05-13T15:13:48Z","1","522"
"2015-2014","5.431754","52.9293118","2014-05-14T02:19:20Z","1","547"
"2015-2014","5.4317629","52.9293435","2014-05-14T16:55:47Z","1","591"
"2015-2014","5.4317494","52.9293438","2014-05-14T17:26:32Z","1","592"
"2015-2014","5.4317568","52.9293487","2014-05-14T17:56:36Z","1","593"
"2015-2014","5.4317553","52.9293213","2014-05-15T01:00:01Z","1","607"
"2015-2014","5.4317641","52.9293492","2014-05-15T01:29:51Z","1","608"
"2015-2014","5.4316978","52.9293111","2014-05-16T04:33:23Z","1","680"
"2015-2014","5.4317628","52.92932","2014-05-16T04:48:19Z","1","681"
"2015-2014","5.4317747","52.9293076","2014-05-16T05:03:48Z","1","682"
"2015-2014","5.4317397","52.9293375","2014-05-16T06:03:39Z","1","684"
"2015-2014","5.431751","52.9293464","2014-05-16T06:18:43Z","1","685"
"2015-2014","5.4317499","52.929318","2014-05-16T12:12:03Z","1","697"
"2015-2014","5.4317546","52.9293061","2014-05-16T15:10:59Z","1","702"
"2015-2014","5.4317581","52.929322","2014-05-17T07:44:35Z","1","747"
"2015-2014","5.4317323","52.9293163","2014-05-17T09:44:38Z","1","752"
"2015-2014","5.4317296","52.9293289","2014-05-17T10:14:37Z","1","753"
"2015-2014","5.43178","52.9292733","2014-05-17T10:44:45Z","1","754"
"2015-2014","5.431776","52.9292997","2014-05-17T12:46:08Z","1","758"
"2015-2014","5.431783","52.9293167","2014-05-17T13:01:10Z","1","759"
"2015-2014","5.431787","52.9292958","2014-05-17T13:47:04Z","1","762"
"2015-2014","5.4317536","52.9293092","2014-05-17T14:01:58Z","1","763"
"2015-2014","5.4317936","52.9293331","2014-05-17T14:17:09Z","1","764"
"2015-2014","5.4317608","52.9293238","2014-05-18T01:50:10Z","1","792"
"2015-2014","5.4317307","52.9293303","2014-05-18T02:05:38Z","1","793"
"2015-2014","5.4317224","52.9293383","2014-05-18T02:20:49Z","1","794"
