"","ID","date_time","latitude","longitude","b","t"
"1","144426-2017",2017-03-31 18:01:11,49.348,-0.708,-1,"2017-03-31 18:01:11"
"2","144426-2017",2017-04-13 15:53:59,49.348,-0.702,-1,"2017-04-13 15:53:59"
"3","144426-2017",2017-04-17 11:44:08,49.346,-0.716,-1,"2017-04-17 11:44:08"
"4","144426-2017",2017-04-18 18:53:08,49.344,-0.722,-1,"2017-04-18 18:53:08"
"5","144426-2017",2017-04-30 10:36:06,49.347,-0.708,-1,"2017-04-30 10:36:06"
"6","144426-2017",2017-05-09 18:27:25,49.346,-0.714,-1,"2017-05-09 18:27:25"
