"","x","y","t","date_time","year"
"68",663415.010209235,5866748.73661295,1369537758,2013-05-25 23:09:18,"2013"
"69",663109.960688681,5866716.11190127,1369545027,2013-05-26 01:10:27,"2013"
"70",663108.66485831,5866710.45654084,1369548669,2013-05-26 02:11:09,"2013"
"71",663106.982686748,5866712.24791697,1369552279,2013-05-26 03:11:19,"2013"
"72",663109.270685201,5866714.42960277,1369555899,2013-05-26 04:11:39,"2013"
"73",663108.37801815,5866710.78086387,1369559525,2013-05-26 05:12:05,"2013"
"74",663107.0653124,5866711.79421535,1369563190,2013-05-26 06:13:10,"2013"
"75",663113.091316815,5866698.14722082,1369566795,2013-05-26 07:13:15,"2013"
"76",663109.150649234,5866708.82512903,1369570419,2013-05-26 08:13:39,"2013"
"77",663042.112996181,5866728.33725371,1369574034,2013-05-26 09:13:54,"2013"
"78",663104.749672367,5866704.85736708,1369577646,2013-05-26 10:14:06,"2013"
"79",663111.445324634,5866708.02312235,1369580493,2013-05-26 11:01:33,"2013"
"80",663110.065924938,5866708.42184672,1369581393,2013-05-26 11:16:33,"2013"
"81",663110.045409527,5866708.33208089,1369582736.5,2013-05-26 11:38:56,"2013"
"82",663094.0979464,5866712.92574127,1369584536.5,2013-05-26 12:08:56,"2013"
"83",663088.830849728,5866716.36622181,1369585932,2013-05-26 12:32:12,"2013"
"84",663100.686679851,5866709.40186593,1369587348,2013-05-26 12:55:48,"2013"
"85",663095.051887334,5866718.0462191,1369588704,2013-05-26 13:18:24,"2013"
"86",663097.924263819,5866710.50538291,1369590064.5,2013-05-26 13:41:04,"2013"
"87",663113.0681309,5866714.15716874,1369591855,2013-05-26 14:10:55,"2013"
"88",663112.019492779,5866714.82315722,1369593647.5,2013-05-26 14:40:47,"2013"
"89",663113.418508453,5866718.32200626,1369594990,2013-05-26 15:03:10,"2013"
"90",663110.980362424,5866726.65133094,1369596366.5,2013-05-26 15:26:06,"2013"
"91",663104.1249234,5866745.03008066,1369597744,2013-05-26 15:49:04,"2013"
"92",663106.421079862,5866756.92091354,1369599579,2013-05-26 16:19:39,"2013"
"93",663961.248059342,5867421.45657345,1369606796,2013-05-26 18:19:56,"2013"
"94",663971.381208886,5867360.07333783,1369608608,2013-05-26 18:50:08,"2013"
"95",663945.645578507,5867420.29156916,1369610426,2013-05-26 19:20:26,"2013"
"96",663967.220622599,5867369.85242423,1369612238,2013-05-26 19:50:38,"2013"
"97",663966.514764162,5867351.03399212,1369614033,2013-05-26 20:20:33,"2013"
"98",663967.355194335,5867351.8419518,1369615835,2013-05-26 20:50:35,"2013"
"99",663961.638728395,5867353.16187316,1369617656,2013-05-26 21:20:56,"2013"
