"","X","x","y","t","date_time","year"
"65",65,663024.965364265,5866139.93768451,1368084164,2013-05-09 03:22:44,"2013"
"66",66,663022.456871086,5866140.58777904,1368085644,2013-05-09 03:47:24,"2013"
"67",67,663027.383155833,5866139.9647355,1368087124,2013-05-09 04:12:04,"2013"
"68",68,663025.340532843,5866141.48128536,1368088620,2013-05-09 04:37:00,"2013"
"69",69,663026.012121768,5866138.65169384,1368090098,2013-05-09 05:01:38,"2013"
"70",70,663023.607963727,5866139.78048468,1368091579,2013-05-09 05:26:19,"2013"
"71",71,663026.003564658,5866140.70521836,1368093076,2013-05-09 05:51:16,"2013"
"72",72,663022.981922359,5866141.47953774,1368094572,2013-05-09 06:16:12,"2013"
"73",73,662977.614474851,5866117.8907558,1368096097.5,2013-05-09 06:41:37,"2013"
"74",74,663126.492454544,5866267.55423459,1368099088,2013-05-09 07:31:28,"2013"
"75",75,663119.34768995,5866265.79082129,1368100573.5,2013-05-09 07:56:13,"2013"
"76",76,663009.033559881,5866155.37117565,1368102392,2013-05-09 08:26:32,"2013"
"77",77,663018.762812953,5866155.31574184,1368103576,2013-05-09 08:46:16,"2013"
"78",78,663019.200116533,5866173.345331,1368105216,2013-05-09 09:13:36,"2013"
"79",79,663012.567057066,5866183.2420499,1368106432,2013-05-09 09:33:52,"2013"
"80",80,663024.082264892,5866139.58496261,1368108208,2013-05-09 10:03:28,"2013"
"81",81,663027.515483353,5866140.2465223,1368109714,2013-05-09 10:28:34,"2013"
"82",82,663027.623929215,5866138.94387942,1368111200,2013-05-09 10:53:20,"2013"
"83",83,663029.318546033,5866137.86909344,1368112688,2013-05-09 11:18:08,"2013"
"84",84,663024.964142533,5866131.40899594,1368114186,2013-05-09 11:43:06,"2013"
"85",85,663022.022550959,5866134.32136373,1368115682,2013-05-09 12:08:02,"2013"
"86",86,663136.057205416,5866276.02006656,1368117758,2013-05-09 12:42:38,"2013"
"87",87,663133.971401201,5866277.00727848,1368118662,2013-05-09 12:57:42,"2013"
"88",88,663125.984872972,5866276.13588261,1368120142,2013-05-09 13:22:22,"2013"
"89",89,663055.019404662,5866275.54107231,1368121918,2013-05-09 13:51:58,"2013"
"90",90,663061.838032468,5866251.88904519,1368122822,2013-05-09 14:07:02,"2013"
"91",91,663070.235610356,5866217.75761259,1368124598,2013-05-09 14:36:38,"2013"
"92",92,662929.350976537,5866219.92929873,1368126373.5,2013-05-09 15:06:13,"2013"
"93",93,662926.082969185,5866224.63997032,1368127564.5,2013-05-09 15:26:04,"2013"
"94",94,663028.754382303,5866250.35986198,1368129054,2013-05-09 15:50:54,"2013"
"95",95,663099.483809974,5866265.36428709,1368130534.5,2013-05-09 16:15:34,"2013"
"96",96,663095.764726421,5866252.93288494,1368132062,2013-05-09 16:41:02,"2013"
"97",97,663100.008536243,5866250.13955383,1368133245,2013-05-09 17:00:45,"2013"
"98",98,663064.844147246,5866255.68343518,1368135037,2013-05-09 17:30:37,"2013"
"99",99,663065.154381892,5866253.81596373,1368136523,2013-05-09 17:55:23,"2013"
"100",100,663065.784666695,5866254.98252821,1368138060,2013-05-09 18:21:00,"2013"
"101",101,663065.174658167,5866257.59664595,1368139540.5,2013-05-09 18:45:40,"2013"
"102",102,663063.956981105,5866256.17754312,1368141020,2013-05-09 19:10:20,"2013"
"103",103,663064.797763819,5866258.0960734,1368142500,2013-05-09 19:35:00,"2013"
"104",104,663065.323543771,5866260.90952363,1368143980,2013-05-09 19:59:40,"2013"
"105",105,663067.241822977,5866251.28671741,1368145491.5,2013-05-09 20:24:51,"2013"
"106",106,663066.347473455,5866255.8394078,1368146971,2013-05-09 20:49:31,"2013"
"107",107,663066.853386296,5866257.02622673,1368148747,2013-05-09 21:19:07,"2013"
"108",108,663064.914351024,5866257.73259101,1368150227.5,2013-05-09 21:43:47,"2013"
"109",109,663060.856709884,5866260.31773066,1368151707,2013-05-09 22:08:27,"2013"
"110",110,663061.454129088,5866264.04554588,1368153187.5,2013-05-09 22:33:07,"2013"
"111",111,663097.57119345,5866254.26026082,1368154969.5,2013-05-09 23:02:49,"2013"
"112",112,663100.010410734,5866254.26477021,1368156162.5,2013-05-09 23:22:42,"2013"
"113",113,663091.925640385,5866251.36386644,1368157474.5,2013-05-09 23:44:34,"2013"
"114",114,663048.798673459,5866192.07641436,1368158954.5,2013-05-10 00:09:14,"2013"
"115",115,663015.906216986,5866143.26142711,1368160746,2013-05-10 00:39:06,"2013"
"116",116,662964.127623832,5866151.80013824,1368162539,2013-05-10 01:08:59,"2013"
"117",117,663020.356776746,5866140.1048705,1368164017.5,2013-05-10 01:33:37,"2013"
"118",118,663020.348092836,5866140.56107117,1368165202,2013-05-10 01:53:22,"2013"
"119",119,663024.465610928,5866137.59765458,1368166713,2013-05-10 02:18:33,"2013"
"120",120,663026.27825783,5866137.7274054,1368168193.5,2013-05-10 02:43:13,"2013"
"121",121,663026.494628161,5866137.18754159,1368169673,2013-05-10 03:07:53,"2013"
"122",122,663029.02017837,5866136.94045744,1368171152.5,2013-05-10 03:32:32,"2013"
"123",123,663030.87409426,5866138.73443222,1368172634,2013-05-10 03:57:14,"2013"
"124",124,663029.189413512,5866140.1973051,1368174123.5,2013-05-10 04:22:03,"2013"
"125",125,663026.455632533,5866136.85937875,1368175608,2013-05-10 04:46:48,"2013"
"126",126,663024.69267129,5866138.54785497,1368177088,2013-05-10 05:11:28,"2013"
"127",127,663022.160506575,5866139.89859214,1368178569,2013-05-10 05:36:09,"2013"
"128",128,663026.209142715,5866139.67352134,1368180069.5,2013-05-10 06:01:09,"2013"
"129",129,663029.15820337,5866135.61248276,1368181591,2013-05-10 06:26:31,"2013"
"130",130,663028.393841869,5866136.4572347,1368183086.5,2013-05-10 06:51:26,"2013"
"131",131,663031.195445247,5866135.12409448,1368184583,2013-05-10 07:16:23,"2013"
"132",132,663039.073589498,5866128.98530036,1368186077.5,2013-05-10 07:41:17,"2013"
"133",133,663026.020389865,5866139.58363891,1368187718,2013-05-10 08:08:38,"2013"
"134",134,663023.546277292,5866140.11242041,1368189207,2013-05-10 08:33:27,"2013"
"135",135,663019.781874529,5866139.19472689,1368190696,2013-05-10 08:58:16,"2013"
"136",136,663014.508957573,5866139.30607202,1368191895,2013-05-10 09:18:15,"2013"
"137",137,663007.446817835,5866182.02247919,1368193966,2013-05-10 09:52:46,"2013"
"138",138,663009.676068083,5866193.62148128,1368195150,2013-05-10 10:12:30,"2013"
"139",139,662997.750638766,5866148.03127529,1368196943,2013-05-10 10:42:23,"2013"
"140",140,662998.512703556,5866157.84380513,1368198126,2013-05-10 11:02:06,"2013"
"141",141,662988.181915472,5866174.41295609,1368199309.5,2013-05-10 11:21:49,"2013"
"142",142,663122.263387277,5866257.67248432,1368200789,2013-05-10 11:46:29,"2013"
"143",143,663001.173311625,5866167.53443817,1368202572,2013-05-10 12:16:12,"2013"
"144",144,663026.436512992,5866139.01872967,1368204373,2013-05-10 12:46:13,"2013"
"145",145,663026.683881944,5866138.59630794,1368205557,2013-05-10 13:05:57,"2013"
"146",146,663024.620815313,5866135.69512221,1368207085.5,2013-05-10 13:31:25,"2013"
"147",147,662995.291770124,5866158.67035159,1368208626,2013-05-10 13:57:06,"2013"
"148",148,662971.429058479,5866160.96506708,1368209906,2013-05-10 14:18:26,"2013"
"149",149,662994.060756185,5866169.31174995,1368211684,2013-05-10 14:48:04,"2013"
"150",150,662988.099624136,5866188.10499942,1368213164.5,2013-05-10 15:12:44,"2013"
"151",151,662994.395683436,5866195.45456522,1368214646,2013-05-10 15:37:26,"2013"
"152",152,662985.765362752,5866180.41049278,1368215958,2013-05-10 15:59:18,"2013"
"153",153,663133.869961085,5866274.83271449,1368218965,2013-05-10 16:49:25,"2013"
"154",154,663111.097385792,5866261.0193389,1368220492,2013-05-10 17:14:52,"2013"
"155",155,663123.038813653,5866261.70694619,1368222152,2013-05-10 17:42:32,"2013"
"156",156,663125.046631396,5866261.25736947,1368223482,2013-05-10 18:04:42,"2013"
"157",157,663123.446095604,5866259.98224084,1368225088.5,2013-05-10 18:31:28,"2013"
"158",158,663124.247965758,5866260.07772105,1368226674,2013-05-10 18:57:54,"2013"
"159",159,663122.00143662,5866258.45414393,1368228242,2013-05-10 19:24:02,"2013"
"160",160,663122.781781334,5866264.22718623,1368229682,2013-05-10 19:48:02,"2013"
"161",161,663125.941476017,5866269.06299157,1368231154,2013-05-10 20:12:34,"2013"
"162",162,663125.174710657,5866262.32905119,1368232641,2013-05-10 20:37:21,"2013"
"163",163,663123.867757546,5866262.65103397,1368234098,2013-05-10 21:01:38,"2013"
