"","x","y","t","date_time","year"
"2330",-333478.248603746,4122415.39524893,1394722015,2014-03-13 10:46:55,"2014"
"2331",-333468.800792657,4122418.41992719,1394725636,2014-03-13 11:47:16,"2014"
"2332",-333482.329851306,4122415.95555959,1394729259,2014-03-13 12:47:39,"2014"
"2333",-333456.086337063,4122413.36474704,1394732867,2014-03-13 13:47:47,"2014"
"2334",-333493.655054074,4122413.85825006,1394736489,2014-03-13 14:48:09,"2014"
"2335",-333359.009379348,4123338.26424044,1394750988,2014-03-13 18:49:48,"2014"
"2336",-333330.193309433,4123345.02019202,1394758208,2014-03-13 20:50:08,"2014"
"2337",-333332.934520475,4123347.98906827,1394765438,2014-03-13 22:50:38,"2014"
"2338",-333322.371717278,4123337.25504,1394772669,2014-03-14 00:51:09,"2014"
"2339",-333451.455834838,4122410.59165188,1394783498,2014-03-14 03:51:38,"2014"
"2340",-333429.236414342,4122419.75318159,1394787128,2014-03-14 04:52:08,"2014"
"2341",-333433.727814932,4122426.22258186,1394790734,2014-03-14 05:52:14,"2014"
"2342",-333503.653154869,4122347.71577663,1394794332,2014-03-14 06:52:12,"2014"
"2343",-333452.555193782,4122408.87888262,1394797958,2014-03-14 07:52:38,"2014"
"2344",-333484.074795202,4122392.60832826,1394801575,2014-03-14 08:52:55,"2014"
"2345",-333449.471917589,4122406.8094178,1394805179,2014-03-14 09:52:59,"2014"
"2346",-333464.727613797,4122399.38885462,1394808818,2014-03-14 10:53:38,"2014"
"2347",-333429.077833284,4122402.6038488,1394812429,2014-03-14 11:53:49,"2014"
"2348",-333466.648573028,4122403.62582403,1394816048,2014-03-14 12:54:08,"2014"
"2349",-333302.844648848,4123372.49502024,1394823260,2014-03-14 14:54:20,"2014"
"2350",-333275.557633903,4123356.90570365,1394830478,2014-03-14 16:54:38,"2014"
"2351",-333293.953058448,4123307.33210731,1394837708,2014-03-14 18:55:08,"2014"
"2352",-333295.673516042,4123311.49308102,1394844938,2014-03-14 20:55:38,"2014"
"2353",-333301.252089321,4123303.28589494,1394852142,2014-03-14 22:55:42,"2014"
"2354",-333284.521891703,4123298.94715045,1394859398,2014-03-15 00:56:38,"2014"
"2355",-333480.209828859,4122408.33739735,1394870230,2014-03-15 03:57:10,"2014"
"2356",-333444.043787519,4122401.04575979,1394873852,2014-03-15 04:57:32,"2014"
"2357",-333440.294507017,4122404.44189925,1394877472,2014-03-15 05:57:52,"2014"
"2358",-333443.441199918,4122401.02000092,1394881098,2014-03-15 06:58:18,"2014"
"2359",-333450.07901371,4122407.52141955,1394884705,2014-03-15 07:58:25,"2014"
"2360",-333327.949484073,4123352.83709402,1394891922,2014-03-15 09:58:42,"2014"
"2361",-333465.769494034,4122380.78405219,1394899178,2014-03-15 11:59:38,"2014"
"2362",-333295.003679501,4123290.47079836,1394910008,2014-03-15 15:00:08,"2014"
"2363",-333282.846708777,4123287.74156325,1394917212,2014-03-15 17:00:12,"2014"
"2364",-333286.778609296,4123321.0929594,1394924456,2014-03-15 19:00:56,"2014"
"2365",-333357.747565075,4123327.53788486,1394931690,2014-03-15 21:01:30,"2014"
"2366",-333289.086172419,4123306.59302098,1394938897,2014-03-15 23:01:37,"2014"
"2367",-333435.620862828,4122409.24205054,1394953267,2014-03-16 03:01:07,"2014"
"2368",-333446.894056016,4122400.16914947,1394967811,2014-03-16 07:03:31,"2014"
"2369",-333473.76155221,4122367.62098826,1394971414,2014-03-16 08:03:34,"2014"
"2370",-333448.408083167,4122402.39848955,1394975018,2014-03-16 09:03:38,"2014"
"2371",-333455.183306978,4122399.54840942,1394978648,2014-03-16 10:04:08,"2014"
"2372",-333448.385991791,4122399.2371445,1394982273,2014-03-16 11:04:33,"2014"
"2373",-333419.836967626,4122430.88857288,1394985897,2014-03-16 12:04:57,"2014"
"2374",-333430.497866733,4122399.47244213,1394989492,2014-03-16 13:04:52,"2014"
"2375",-333499.143100974,4122338.1415428,1394993118,2014-03-16 14:05:18,"2014"
"2376",-333294.471584283,4123319.36788096,1395007568,2014-03-16 18:06:08,"2014"
"2377",-333301.185504392,4123309.63137406,1395014773,2014-03-16 20:06:13,"2014"
"2378",-333279.277328914,4123354.08005977,1395021998,2014-03-16 22:06:38,"2014"
"2379",-333298.614479089,4123288.01665013,1395029218,2014-03-17 00:06:58,"2014"
"2380",-333354.813996556,4123340.05354247,1395036446,2014-03-17 02:07:26,"2014"
"2381",-333451.855687759,4122392.4518758,1395043665,2014-03-17 04:07:45,"2014"
"2382",-333430.477440216,4122421.17983099,1395047288,2014-03-17 05:08:08,"2014"
