"","x","y","t","date_time","year"
"1",667800.0374926,5869015.54768813,1368712434,2013-05-16 09:53:54,"2013"
"2",667801.930982215,5869023.56373997,1368716045,2013-05-16 10:54:05,"2013"
"3",667797.309752429,5869015.07416582,1368719707,2013-05-16 11:55:07,"2013"
"4",667790.88703726,5869028.96935993,1368723319,2013-05-16 12:55:19,"2013"
"5",667803.621985336,5869027.54199915,1368726939,2013-05-16 13:55:39,"2013"
"6",667800.55743097,5869014.3298389,1368730598,2013-05-16 14:56:38,"2013"
"7",667799.734986896,5869016.8955868,1368741488,2013-05-16 17:58:08,"2013"
"8",667800.279326098,5869012.27138217,1368745087,2013-05-16 18:58:07,"2013"
"9",667801.57772631,5869028.49523139,1368748709,2013-05-16 19:58:29,"2013"
"10",667805.334283514,5869012.35825617,1368752318,2013-05-16 20:58:38,"2013"
"11",667803.135116253,5869004.04206211,1368755945,2013-05-16 21:59:05,"2013"
"12",667799.300698005,5869011.98122195,1368759555,2013-05-16 22:59:15,"2013"
"13",663305.217202408,5866501.49494201,1368774363,2013-05-17 03:06:03,"2013"
"14",663939.621037327,5866785.48555598,1368785439,2013-05-17 06:10:39,"2013"
"15",664230.217796954,5866136.30512812,1368799999,2013-05-17 10:13:19,"2013"
"16",667799.290084358,5869011.51319698,1368822252,2013-05-17 16:24:12,"2013"
"17",667795.734452251,5869007.19167266,1368825878,2013-05-17 17:24:38,"2013"
"18",667800.446573352,5869014.0364792,1368829508,2013-05-17 18:25:08,"2013"
"19",667802.113601924,5869010.00808529,1368833126,2013-05-17 19:25:26,"2013"
"20",667793.732735226,5869015.03874075,1368836725,2013-05-17 20:25:25,"2013"
"21",667803.571242546,5869015.85997825,1368840335,2013-05-17 21:25:35,"2013"
"22",667798.119770834,5869014.99101328,1368843986,2013-05-17 22:26:26,"2013"
"23",667797.961550577,5869015.86514395,1368847589,2013-05-17 23:26:29,"2013"
"24",667794.926661078,5869016.87297596,1368851208,2013-05-18 00:26:48,"2013"
"25",667015.848683253,5868830.50614966,1368858428,2013-05-18 02:27:08,"2013"
"26",666978.595091144,5868921.69931104,1368862050,2013-05-18 03:27:30,"2013"
"27",663597.627664793,5866120.57275191,1368869456,2013-05-18 05:30:56,"2013"
"28",663596.809334281,5866117.51653941,1368873139,2013-05-18 06:32:19,"2013"
"29",663576.722422808,5866635.14910103,1368887738,2013-05-18 10:35:38,"2013"
"30",663576.854450018,5866635.62120889,1368891391,2013-05-18 11:36:31,"2013"
"31",663579.193559748,5866629.54336984,1368895007,2013-05-18 12:36:47,"2013"
"32",667800.175710665,5869012.15642906,1368902252,2013-05-18 14:37:32,"2013"
"33",667801.010004178,5869011.76235155,1368905871,2013-05-18 15:37:51,"2013"
"34",667802.835797796,5869013.6074478,1368909471,2013-05-18 16:37:51,"2013"
"35",667800.833128798,5869011.43328998,1368913118,2013-05-18 17:38:38,"2013"
"36",667800.168267951,5869013.33644352,1368916716,2013-05-18 18:38:36,"2013"
"37",667808.639131726,5869016.34815369,1368920319,2013-05-18 19:38:39,"2013"
"38",667803.995574572,5869011.3986165,1368923948,2013-05-18 20:39:08,"2013"
"39",667798.360164641,5869023.35037243,1368927547,2013-05-18 21:39:07,"2013"
"40",667765.871714655,5869048.72013284,1368931163,2013-05-18 22:39:23,"2013"
"41",667798.344583018,5869015.48876311,1368934776,2013-05-18 23:39:36,"2013"
"42",667796.343685839,5869012.49070439,1368938378,2013-05-19 00:39:38,"2013"
"43",667779.109135831,5869027.63526378,1368956625,2013-05-19 05:43:45,"2013"
"44",667800.264588425,5869018.1054289,1368960278,2013-05-19 06:44:38,"2013"
"45",667799.398971393,5869002.00799109,1368963885,2013-05-19 07:44:45,"2013"
"46",663657.043587995,5867269.43255269,1368971242,2013-05-19 09:47:22,"2013"
"47",664085.907234853,5866598.9738362,1368978501,2013-05-19 11:48:21,"2013"
"48",666945.625327355,5868950.98820903,1368996978,2013-05-19 16:56:18,"2013"
"49",666953.71659914,5868958.37225247,1369000599,2013-05-19 17:56:39,"2013"
"50",666955.910161735,5868957.95829809,1369004211,2013-05-19 18:56:51,"2013"
"51",666953.477063716,5868958.29714983,1369007828,2013-05-19 19:57:08,"2013"
"52",664013.921696342,5866959.36543996,1369224825,2013-05-22 08:13:45,"2013"
"53",663974.698160886,5867018.45699464,1369228428,2013-05-22 09:13:48,"2013"
"54",664042.545435742,5866950.62973754,1369232073,2013-05-22 10:14:33,"2013"
"55",664022.723931516,5866997.91050276,1369235883,2013-05-22 11:18:03,"2013"
"56",664037.083630699,5866964.62891223,1369239484,2013-05-22 12:18:04,"2013"
"57",663985.942967197,5866986.53909937,1369243179,2013-05-22 13:19:39,"2013"
"58",664041.832248949,5866982.68296049,1369246849,2013-05-22 14:20:49,"2013"
"59",664000.849986083,5866966.0468786,1369250529,2013-05-22 15:22:09,"2013"
