"","X","x","y","t","date_time","year"
"1",1,665985.395350404,5867750.53328576,1364457974,2013-03-28 04:06:14,"2013"
"2",2,663581.707578666,5866646.68602472,1364465198,2013-03-28 06:06:38,"2013"
"3",3,667813.682310017,5869012.715651,1364476254,2013-03-28 09:10:54,"2013"
"4",4,663586.749522465,5866640.0763242,1364487218,2013-03-28 12:13:38,"2013"
"5",5,667812.46383532,5869004.24430057,1364509472,2013-03-28 18:24:32,"2013"
"6",6,667809.827907217,5869002.87206022,1364513109,2013-03-28 19:25:09,"2013"
"7",7,667841.583923356,5869055.3528882,1364516881,2013-03-28 20:28:01,"2013"
"8",8,667810.337155596,5869008.72434694,1364520519,2013-03-28 21:28:39,"2013"
"9",9,667811.180984,5869001.29349975,1364524146,2013-03-28 22:29:06,"2013"
"10",10,667813.951164116,5869016.19902298,1364527778,2013-03-28 23:29:38,"2013"
"11",11,667808.466713533,5869027.09823075,1364531450,2013-03-29 00:30:50,"2013"
"12",12,667788.346348389,5869010.7537134,1364535120,2013-03-29 01:32:00,"2013"
"13",13,667799.08430239,5869008.92279423,1364538845,2013-03-29 02:34:05,"2013"
"14",14,667808.409075541,5868998.22405912,1364542478,2013-03-29 03:34:38,"2013"
"15",15,667798.66891631,5868999.0207619,1364546091,2013-03-29 04:34:51,"2013"
"16",16,667809.21898933,5869001.81534135,1364549732,2013-03-29 05:35:32,"2013"
"17",17,667807.316635683,5869013.76341747,1364553379,2013-03-29 06:36:19,"2013"
"18",18,667801.679852738,5869002.5661721,1364557028,2013-03-29 07:37:08,"2013"
"19",19,663591.021606323,5866641.08963942,1364567918,2013-03-29 10:38:38,"2013"
"20",20,663556.371580078,5866648.53262244,1364571566,2013-03-29 11:39:26,"2013"
"21",21,663585.12903042,5866647.7818341,1364575209,2013-03-29 12:40:09,"2013"
"22",22,663889.082157695,5866805.29066984,1367312505,2013-04-30 05:01:45,"2013"
"23",23,663856.049625179,5866870.51683477,1367323339,2013-04-30 08:02:19,"2013"
"24",24,663815.255606104,5866851.66198478,1367326960,2013-04-30 09:02:40,"2013"
"25",25,663860.989201041,5866882.57585545,1367330600,2013-04-30 10:03:20,"2013"
"26",26,663860.299312942,5866868.0223931,1367334219,2013-04-30 11:03:39,"2013"
"27",27,663842.47495264,5866811.96908265,1367345050,2013-04-30 14:04:10,"2013"
"28",28,663819.788885081,5866833.08833975,1367348674,2013-04-30 15:04:34,"2013"
"29",29,663863.146940798,5867337.79000059,1367355912,2013-04-30 17:05:12,"2013"
"30",30,663874.054920131,5867332.38196658,1367359536,2013-04-30 18:05:36,"2013"
"31",31,663869.070118391,5867331.17713882,1367363169,2013-04-30 19:06:09,"2013"
"32",32,663849.145007916,5867343.3713104,1367366774,2013-04-30 20:06:14,"2013"
"33",33,663837.922630049,5867339.61646458,1367370374,2013-04-30 21:06:14,"2013"
"34",34,663846.254092258,5867338.95306605,1367373999,2013-04-30 22:06:39,"2013"
"35",35,663847.021080005,5867339.54696039,1367377611,2013-04-30 23:06:51,"2013"
"36",36,663829.921388691,5867351.15800249,1367381209,2013-05-01 00:06:49,"2013"
"37",37,663854.344421809,5866871.39418294,1367388451,2013-05-01 02:07:31,"2013"
"38",38,663847.254616042,5866870.54100426,1367392063,2013-05-01 03:07:43,"2013"
"39",39,663952.847767263,5867254.91600139,1367399325,2013-05-01 05:08:45,"2013"
"40",40,663978.627339567,5867229.44893142,1367403028,2013-05-01 06:10:28,"2013"
"41",41,663856.718019265,5866869.45952747,1367410269,2013-05-01 08:11:09,"2013"
"42",42,663854.15803068,5866867.76926277,1367413889,2013-05-01 09:11:29,"2013"
"43",43,663857.466230387,5866873.38188361,1367417504,2013-05-01 10:11:44,"2013"
"44",44,663827.433745077,5866863.56594215,1367421122,2013-05-01 11:12:02,"2013"
"45",45,663857.286451364,5866867.18520572,1367424763,2013-05-01 12:12:43,"2013"
"46",46,663831.718752529,5866846.9546137,1367428394,2013-05-01 13:13:14,"2013"
"47",47,663823.200377586,5866857.6547078,1367432001,2013-05-01 14:13:21,"2013"
"48",48,663954.38082272,5867235.14933865,1367439342,2013-05-01 16:15:42,"2013"
"49",49,663826.939208009,5867349.03030078,1367443038,2013-05-01 17:17:18,"2013"
"50",50,663877.457120111,5867327.09750093,1367446659,2013-05-01 18:17:39,"2013"
"51",51,663867.386129727,5867320.54250256,1367450366,2013-05-01 19:19:26,"2013"
"52",52,663876.02331567,5867324.24855302,1367451285,2013-05-01 19:34:45,"2013"
"53",53,663881.472321379,5867336.64226291,1367452764,2013-05-01 19:59:24,"2013"
"54",54,663853.991317406,5867323.50007343,1367454244,2013-05-01 20:24:04,"2013"
"55",55,663846.595528296,5867325.33648924,1367455746,2013-05-01 20:49:06,"2013"
"56",56,663841.56752425,5867335.10847507,1367457219,2013-05-01 21:13:39,"2013"
"57",57,663841.99524818,5867332.61782423,1367458699,2013-05-01 21:38:19,"2013"
"58",58,663841.139371577,5867331.17471941,1367460338.5,2013-05-01 22:05:38,"2013"
"59",59,663835.031838735,5867324.18584887,1367461820,2013-05-01 22:30:20,"2013"
"60",60,663889.118966156,5867277.52373212,1367463594,2013-05-01 22:59:54,"2013"
"61",61,663902.592778246,5867266.27231611,1367464778,2013-05-01 23:19:38,"2013"
"62",62,663982.021262491,5867386.88979179,1367466598,2013-05-01 23:49:58,"2013"
"63",63,663977.258945776,5867389.43348526,1367467802,2013-05-02 00:10:02,"2013"
"64",64,663980.006344721,5867391.24154717,1367469283,2013-05-02 00:34:43,"2013"
"65",65,663852.647702095,5866878.26197694,1367472259,2013-05-02 01:24:19,"2013"
"66",66,663851.469747366,5866876.19555782,1367473773,2013-05-02 01:49:33,"2013"
"67",67,663859.514783588,5866871.01309245,1367475265.5,2013-05-02 02:14:25,"2013"
"68",68,663861.305223797,5866873.66815793,1367476745,2013-05-02 02:39:05,"2013"
"69",69,663862.230753328,5866870.09214087,1367478246,2013-05-02 03:04:06,"2013"
"70",70,663875.306411245,5866862.00755842,1367479159,2013-05-02 03:19:19,"2013"
"71",71,663979.832840244,5867210.21670956,1367480985,2013-05-02 03:49:45,"2013"
"72",72,663831.293403175,5866836.49636634,1367482792,2013-05-02 04:19:52,"2013"
"73",73,663721.422389851,5866836.10661718,1367484596,2013-05-02 04:49:56,"2013"
"74",74,663990.816657409,5867195.16932698,1367486096,2013-05-02 05:14:56,"2013"
"75",75,663990.221832588,5867190.50060001,1367487280,2013-05-02 05:34:40,"2013"
"76",76,663991.74035912,5867196.00238852,1367488311,2013-05-02 05:51:51,"2013"
"77",77,663844.727409737,5866813.0130901,1367490104,2013-05-02 06:21:44,"2013"
"78",78,663847.539387343,5866875.62783505,1367491906,2013-05-02 06:51:46,"2013"
"79",79,663854.79603374,5866870.25436091,1367493125,2013-05-02 07:12:05,"2013"
"80",80,663853.038624635,5866863.9790462,1367494607,2013-05-02 07:36:47,"2013"
"81",81,663850.812363292,5866862.46712747,1367496130,2013-05-02 08:02:10,"2013"
"82",82,663845.565844962,5866868.06197637,1367497615,2013-05-02 08:26:55,"2013"
"83",83,663854.547001968,5866868.0051567,1367499094,2013-05-02 08:51:34,"2013"
"84",84,663856.874313382,5866870.80093069,1367500871,2013-05-02 09:21:11,"2013"
"85",85,663858.991860446,5866874.81990195,1367502367.5,2013-05-02 09:46:07,"2013"
"86",86,663859.897685878,5866875.76232557,1367503846,2013-05-02 10:10:46,"2013"
"87",87,663858.944902433,5866874.12242402,1367505327,2013-05-02 10:35:27,"2013"
"88",88,663856.550489052,5866871.03076113,1367506839,2013-05-02 11:00:39,"2013"
"89",89,663857.123705848,5866870.39187211,1367508333.5,2013-05-02 11:25:33,"2013"
"90",90,663856.796260199,5866868.93888128,1367509814,2013-05-02 11:50:14,"2013"
"91",91,663858.234231503,5866869.68917303,1367511293.5,2013-05-02 12:14:53,"2013"
"92",92,663856.442829909,5866871.03754518,1367512784,2013-05-02 12:39:44,"2013"
"93",93,663858.382513743,5866876.2188049,1367514321,2013-05-02 13:05:21,"2013"
"94",94,663849.880648038,5866840.66828568,1367515828.5,2013-05-02 13:30:28,"2013"
"95",95,663848.672170714,5866801.56317524,1367517325.5,2013-05-02 13:55:25,"2013"
