"","X","x","y","t","date_time","year"
"1",1,664006.553888435,5866202.61736931,1368461181,2013-05-13 12:06:21,"2013"
"2",2,663990.198457529,5866228.63863928,1368472119,2013-05-13 15:08:39,"2013"
"3",3,663950.886798869,5866245.81878191,1368475735,2013-05-13 16:08:55,"2013"
"4",4,663848.502276617,5867288.61409521,1368480356,2013-05-13 17:25:56,"2013"
"5",5,663857.462851581,5867294.19049369,1368481302,2013-05-13 17:41:42,"2013"
"6",6,663852.524010882,5867290.44309766,1368482916,2013-05-13 18:08:36,"2013"
"7",7,663845.049860245,5867279.82890319,1368484507.5,2013-05-13 18:35:07,"2013"
"8",8,663854.74103943,5867264.98785117,1368485795.5,2013-05-13 18:56:35,"2013"
"9",9,663865.67259466,5867272.11708485,1368487363,2013-05-13 19:22:43,"2013"
"10",10,663858.229483174,5867281.22857329,1368488907,2013-05-13 19:48:27,"2013"
"11",11,663861.519915828,5867281.90819305,1368490499,2013-05-13 20:14:59,"2013"
"12",12,663852.246627915,5867292.27080749,1368492060,2013-05-13 20:41:00,"2013"
"13",13,663852.31940646,5867284.38474875,1368493283,2013-05-13 21:01:23,"2013"
"14",14,663858.753824338,5867281.31824266,1368494818,2013-05-13 21:26:58,"2013"
"15",15,663878.624476392,5867252.53847155,1368496678,2013-05-13 21:57:58,"2013"
"16",16,663886.784526524,5867228.40969309,1368497934,2013-05-13 22:18:54,"2013"
"17",17,663887.396807411,5867221.08196843,1368499180,2013-05-13 22:39:40,"2013"
"18",18,663873.107881174,5867253.4157685,1368501026,2013-05-13 23:10:26,"2013"
"19",19,663893.488535458,5867252.58142828,1368502569.5,2013-05-13 23:36:09,"2013"
"20",20,663910.076984709,5867262.95983294,1368503850,2013-05-13 23:57:30,"2013"
"21",21,663996.385107662,5866189.36729908,1368506009,2013-05-14 00:33:29,"2013"
"22",22,664003.35490865,5866193.87969387,1368506914.5,2013-05-14 00:48:34,"2013"
"23",23,664000.536533436,5866175.17326769,1368508435,2013-05-14 01:13:55,"2013"
"24",24,664032.439733001,5866089.85124279,1368510275,2013-05-14 01:44:35,"2013"
"25",25,663994.045271229,5866172.18019938,1368511811,2013-05-14 02:10:11,"2013"
"26",26,663986.431561697,5866166.9110819,1368513025.5,2013-05-14 02:30:25,"2013"
"27",27,663980.89921968,5866162.47540179,1368514554,2013-05-14 02:55:54,"2013"
"28",28,663978.708795256,5866170.39526297,1368516080,2013-05-14 03:21:20,"2013"
"29",29,663998.619734587,5866196.68042915,1368519424,2013-05-14 04:17:04,"2013"
"30",30,664005.621187513,5866197.2913913,1368520336,2013-05-14 04:32:16,"2013"
"31",31,663995.771723031,5866190.78275392,1368521874,2013-05-14 04:57:54,"2013"
"32",32,663995.261873332,5866190.14191472,1368523088,2013-05-14 05:18:08,"2013"
"33",33,663999.215308639,5866204.10486431,1368525678,2013-05-14 06:01:18,"2013"
"34",34,663991.499615134,5866197.67989406,1368526590.5,2013-05-14 06:16:30,"2013"
"35",35,664001.814356692,5866199.2106831,1368527808.5,2013-05-14 06:36:48,"2013"
"36",36,663990.292511343,5866142.60846604,1368529630,2013-05-14 07:07:10,"2013"
"37",37,663999.831598379,5866133.10680727,1368530870,2013-05-14 07:27:50,"2013"
"38",38,664011.299754915,5866123.70703814,1368532398,2013-05-14 07:53:18,"2013"
"39",39,664012.230036895,5866123.32934669,1368533918.5,2013-05-14 08:18:38,"2013"
