"","X","x","y","t","date_time","year"
"10185",10185,-577905.246622685,3726622.43670996,1423349892,2015-02-07 17:58:12,"2015"
"10186",10186,-577967.090628058,3726506.69814157,1423353477,2015-02-07 18:57:57,"2015"
"10187",10187,-577969.715667693,3726498.2668087,1423355288,2015-02-07 19:28:08,"2015"
"10188",10188,-577970.590681166,3726495.45636431,1423357078,2015-02-07 19:57:58,"2015"
"10189",10189,-577972.069253345,3726502.00300176,1423358895,2015-02-07 20:28:15,"2015"
"10190",10190,-577970.409973011,3726504.5902178,1423360708,2015-02-07 20:58:28,"2015"
"10191",10191,-577969.098158972,3726496.20648042,1423362502,2015-02-07 21:28:22,"2015"
"10192",10192,-577983.67946645,3726487.09416435,1423364299,2015-02-07 21:58:19,"2015"
"10193",10193,-577980.259392301,3726493.26433127,1423366100,2015-02-07 22:28:20,"2015"
"10194",10194,-577968.947267198,3726494.5715816,1423367916,2015-02-07 22:58:36,"2015"
"10195",10195,-577968.262917921,3726493.79373431,1423369714,2015-02-07 23:28:34,"2015"
"10196",10196,-577970.295470715,3726490.76158341,1423371505,2015-02-07 23:58:25,"2015"
"10197",10197,-577964.302502074,3726490.46677436,1423373313,2015-02-08 00:28:33,"2015"
"10198",10198,-577969.673316813,3726488.31602037,1423375105,2015-02-08 00:58:25,"2015"
"10199",10199,-577966.406982232,3726492.85131055,1423376918,2015-02-08 01:28:38,"2015"
"10200",10200,-577963.573855694,3726491.87913803,1423378707,2015-02-08 01:58:27,"2015"
"10201",10201,-577967.696052983,3726486.83956932,1423380495,2015-02-08 02:28:15,"2015"
"10202",10202,-578794.903877771,3725739.39415045,1423387711,2015-02-08 04:28:31,"2015"
"10203",10203,-578812.785842633,3725742.70158229,1423389504,2015-02-08 04:58:24,"2015"
"10204",10204,-578708.701606894,3726023.7091868,1423394926,2015-02-08 06:28:46,"2015"
"10205",10205,-578716.237970771,3726025.53436908,1423396721,2015-02-08 06:58:41,"2015"
"10206",10206,-578714.270810727,3726004.93571886,1423398515,2015-02-08 07:28:35,"2015"
"10207",10207,-578711.400763613,3726011.46141786,1423400348,2015-02-08 07:59:08,"2015"
"10208",10208,-578712.176071075,3726006.21831285,1423402144,2015-02-08 08:29:04,"2015"
"10209",10209,-578711.790384477,3726006.94474035,1423403934,2015-02-08 08:58:54,"2015"
"10210",10210,-578668.339876614,3725969.90515048,1423405724,2015-02-08 09:28:44,"2015"
"10211",10211,-578704.651083555,3726007.61932213,1423407519,2015-02-08 09:58:39,"2015"
"10212",10212,-603429.375598764,3708807.58564352,1423412941,2015-02-08 11:29:01,"2015"
"10213",10213,-603438.917413487,3708806.87830956,1423414732,2015-02-08 11:58:52,"2015"
"10214",10214,-603441.414332543,3708809.5283674,1423416523,2015-02-08 12:28:43,"2015"
"10215",10215,-603576.578074654,3708552.84132638,1423420172,2015-02-08 13:29:32,"2015"
"10216",10216,-603645.119743208,3708962.07543543,1423425549,2015-02-08 14:59:09,"2015"
"10217",10217,-603595.01655939,3708899.42780711,1423429149,2015-02-08 15:59:09,"2015"
"10218",10218,-603658.608408312,3708968.23732625,1423432758,2015-02-08 16:59:18,"2015"
"10219",10219,-603660.81417366,3708965.96202872,1423434588,2015-02-08 17:29:48,"2015"
"10220",10220,-603639.152394877,3708946.925191,1423436380,2015-02-08 17:59:40,"2015"
"10221",10221,-603596.658016431,3708889.50072959,1423438173,2015-02-08 18:29:33,"2015"
"10222",10222,-603602.219272303,3708889.12353931,1423439991,2015-02-08 18:59:51,"2015"
"10223",10223,-603605.415821944,3708896.63217323,1423441793,2015-02-08 19:29:53,"2015"
"10224",10224,-603613.897177731,3708901.15016782,1423443598,2015-02-08 19:59:58,"2015"
"10225",10225,-603602.682715471,3708893.28708564,1423445408,2015-02-08 20:30:08,"2015"
"10226",10226,-603600.238715005,3708900.02008562,1423447209,2015-02-08 21:00:09,"2015"
"10227",10227,-603600.232477787,3708891.15188399,1423449003,2015-02-08 21:30:03,"2015"
"10228",10228,-603598.564231822,3708893.90718381,1423450795,2015-02-08 21:59:55,"2015"
"10229",10229,-603597.229838779,3708895.90759632,1423452607,2015-02-08 22:30:07,"2015"
"10230",10230,-603599.223563159,3708894.49158887,1423454438,2015-02-08 23:00:38,"2015"
"10231",10231,-603599.225554856,3708891.8644092,1423456231,2015-02-08 23:30:31,"2015"
"10232",10232,-603597.496319598,3708890.86420918,1423458022,2015-02-09 00:00:22,"2015"
"10233",10233,-603593.110861834,3708886.93534719,1423459815,2015-02-09 00:30:15,"2015"
"10234",10234,-603573.31974365,3708836.92185249,1423461607,2015-02-09 01:00:07,"2015"
"10235",10235,-603598.120165287,3708838.72661355,1423463426,2015-02-09 01:30:26,"2015"
"10236",10236,-603583.428788224,3708581.76082133,1423467032,2015-02-09 02:30:32,"2015"
"10237",10237,-603523.995369254,3708540.91028554,1423468838,2015-02-09 03:00:38,"2015"
"10238",10238,-603526.304995526,3708538.47684351,1423470629,2015-02-09 03:30:29,"2015"
"10239",10239,-603517.082184231,3708463.36576583,1423472436,2015-02-09 04:00:36,"2015"
"10240",10240,-603603.650638632,3708474.41670888,1423476022,2015-02-09 05:00:22,"2015"
"10241",10241,-603610.817356313,3708486.23732397,1423477825,2015-02-09 05:30:25,"2015"
"10242",10242,-603689.078079787,3708513.20996264,1423479639,2015-02-09 06:00:39,"2015"
"10243",10243,-603644.008528532,3708504.9050437,1423481442,2015-02-09 06:30:42,"2015"
"10244",10244,-603647.029965626,3708533.49229363,1423483240,2015-02-09 07:00:40,"2015"
"10245",10245,-603651.090654451,3708522.77500877,1423485031,2015-02-09 07:30:31,"2015"
"10246",10246,-603603.563568877,3708579.33297955,1423486820,2015-02-09 08:00:20,"2015"
"10247",10247,-603663.360886298,3708544.064625,1423488613,2015-02-09 08:30:13,"2015"
"10248",10248,-603647.682568212,3708516.03517105,1423490438,2015-02-09 09:00:38,"2015"
"10249",10249,-603642.051611264,3708519.97189197,1423492227,2015-02-09 09:30:27,"2015"
"10250",10250,-603639.596601879,3708557.70024063,1423494018,2015-02-09 10:00:18,"2015"
"10251",10251,-603634.565444551,3708521.82959541,1423495811,2015-02-09 10:30:11,"2015"
"10252",10252,-603637.066762937,3708515.60137496,1423497631,2015-02-09 11:00:31,"2015"
"10253",10253,-603644.210317921,3708531.07739679,1423499444,2015-02-09 11:30:44,"2015"
"10254",10254,-603587.901499217,3708476.14150727,1423501236,2015-02-09 12:00:36,"2015"
"10255",10255,-603599.61764957,3708480.00691476,1423503035,2015-02-09 12:30:35,"2015"
"10256",10256,-321233.045660616,4073024.02778842,1424952706,2015-02-26 07:11:46,"2015"
"10257",10257,-321433.52325025,4073069.07574485,1424958095,2015-02-26 08:41:35,"2015"
"10258",10258,-321490.745860991,4073367.17073749,1424961715,2015-02-26 09:41:55,"2015"
"10259",10259,-321499.097595449,4073364.12793385,1424963528,2015-02-26 10:12:08,"2015"
"10260",10260,-321496.757578526,4073368.84760608,1424965342,2015-02-26 10:42:22,"2015"
"10261",10261,-321496.683008145,4073364.41353313,1424967136,2015-02-26 11:12:16,"2015"
"10262",10262,-321496.401553284,4073368.01576225,1424968937,2015-02-26 11:42:17,"2015"
"10263",10263,-321494.985754635,4073365.64423096,1424970738,2015-02-26 12:12:18,"2015"
"10264",10264,-321487.735974289,4073367.51168479,1424972531,2015-02-26 12:42:11,"2015"
